000000021a8a0e50 (__DATA,__data) non-external _.compoundliteral
00000001e50db650 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetType
00000001e50db644 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetQualifier
00000001e50db65c (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetType
00000001e50a8588 (__TEXT,__text) non-external (was a private external) _glpPrecisionIndexFromSAFlags
00000001e50c22d4 (__TEXT,__text) non-external (was a private external) _glpPrecisionQualifierFromSaFlags
00000001e50bc9e4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumnType
00000001e50bc6bc (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumns
00000001e50bcd3c (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetElementType
00000001e50bcb90 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRowType
00000001e50bc850 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRows
00000001e50bd0d4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPDatatype
00000001e50bcec8 (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPTextarget
00000001e50cd178 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeFromString
00000001e50bd5e4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetByteStride
00000001e50bd4ac (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetBytesPerComponent
00000001e50bc350 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetCategory
00000001e50bc324 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetGLType
00000001e50bd500 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetMaxComponentsPerVec4
00000001e50bd55c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetNumVec4s
00000001e50cd1a4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetPrimitiveType
00000001e50bd40c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarCount
00000001e50bd268 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarType
00000001e50dbacc (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeNodeGetType
00000001e50bd310 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeReplaceScalarType
00000001e50942dc (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType
00000001e514c224 (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType.cold.1
00000001e50bc26c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeToString
00000001e50bc518 (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetElementType
00000001e50bc37c (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetLength
00000001e50a2610 (__TEXT,__text) non-external _glpProcessComponentWiseVectorAssignment
00000001e5009d88 (__TEXT,__text) non-external _glpProgram_PPStreamAddAddressUsage
00000001e5009da0 (__TEXT,__text) non-external _glpProgram_PPStreamAddAttribBinding
00000001e5009e64 (__TEXT,__text) non-external _glpProgram_PPStreamAddConstant
00000001e5009e6c (__TEXT,__text) non-external _glpProgram_PPStreamAddLabel
00000001e5009d2c (__TEXT,__text) non-external _glpProgram_PPStreamAddOperation
00000001e5009e5c (__TEXT,__text) non-external _glpProgram_PPStreamAddOption
00000001e5009e08 (__TEXT,__text) non-external _glpProgram_PPStreamAddOutputBinding
00000001e5009d90 (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBinding
00000001e5009d98 (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBindingArray
00000001e5009d80 (__TEXT,__text) non-external _glpProgram_PPStreamAddTempUsage
00000001e5009ec0 (__TEXT,__text) non-external _glpProgram_PPStreamResolveBranches
00000001e5009d20 (__TEXT,__text) non-external _glpProgram_PPStreamSetTarget
00000001e50c75f4 (__TEXT,__text) non-external (was a private external) _glpPushdownPrecision
00000001e50db7b0 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeAddDeclaration
00000001e50db798 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclaration
00000001e50db790 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclarationCount
00000001e50db7b8 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeInsertDeclaration
00000001e50db7a4 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeSetDeclaration
00000001e50db6fc (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetName
00000001e50db708 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetQualifiers
00000001e50db714 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeSetQualifiers
00000001e50dba34 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetQualifiers
00000001e50dba1c (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetType
00000001e50dba40 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeSetQualifiers
00000001e50dba28 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeSetType
00000001e50bfac8 (__TEXT,__text) non-external (was a private external) _glpQualifierKindOfNode
00000001e50bfa9c (__TEXT,__text) non-external (was a private external) _glpQualifierKindToString
00000001e50dc464 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeAddQualifier
00000001e50dc44c (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeGetQualifier
00000001e50dc444 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeGetQualifierCount
00000001e50dc46c (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeInsertQualifier
00000001e50dc458 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeSetQualifier
00000001e50bd600 (__TEXT,__text) non-external (was a private external) _glpQualifierName
00000001e50dd5ac (__TEXT,__text) non-external (was a private external) _glpRValueNodeGetBase
00000001e50dd5b8 (__TEXT,__text) non-external (was a private external) _glpRValueNodeSetBase
00000001e50dd214 (__TEXT,__text) non-external (was a private external) _glpRawCallNodeGetExtra
00000001e50dd208 (__TEXT,__text) non-external (was a private external) _glpRawCallNodeGetName
00000001e50dd21c (__TEXT,__text) non-external (was a private external) _glpRawCallNodeSetExtra
00000001e50c823c (__TEXT,__text) non-external (was a private external) _glpReInitDeserialContext
00000001e50dad14 (__TEXT,__text) non-external (was a private external) _glpReadInputNodeGetExtra
00000001e50d2f3c (__TEXT,__text) non-external (was a private external) _glpRemapValue
00000001e51126a8 (__TEXT,__text) non-external (was a private external) _glpResetErrMsg
00000001e50dcf64 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeGetExpr
00000001e50dcf54 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeGetExtra
00000001e50dcf70 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeSetExpr
00000001e50dcf5c (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeSetExtra
00000001e5104a9c (__TEXT,__text) non-external _glpSAAdd
00000001e51031f4 (__TEXT,__text) non-external _glpSAArrayAccess
00000001e5109f2c (__TEXT,__text) non-external _glpSAArrayType
00000001e5105d80 (__TEXT,__text) non-external _glpSAAssign
00000001e510d570 (__TEXT,__text) non-external _glpSAAvailabilityDeclaration
00000001e510dd14 (__TEXT,__text) non-external _glpSABinaryOperator
00000001e5105764 (__TEXT,__text) non-external _glpSABitwiseAnd
00000001e510490c (__TEXT,__text) non-external _glpSABitwiseNot
00000001e51057c8 (__TEXT,__text) non-external _glpSABitwiseOr
00000001e510582c (__TEXT,__text) non-external _glpSABitwiseXor
00000001e510c2d0 (__TEXT,__text) non-external _glpSABlock
00000001e510ce88 (__TEXT,__text) non-external _glpSABreakStatement
00000001e50c68d8 (__TEXT,__text) non-external (was a private external) _glpSABuiltinPPStreamOp
00000001e510d9c0 (__TEXT,__text) non-external _glpSACall
00000001e510ccf0 (__TEXT,__text) non-external _glpSACaseStatement
00000001e51068a0 (__TEXT,__text) non-external _glpSACommaExpr
00000001e510319c (__TEXT,__text) non-external _glpSAConstant
00000001e51045b8 (__TEXT,__text) non-external _glpSAConstructorCall
00000001e510cf54 (__TEXT,__text) non-external _glpSAContinueStatement
00000001e510cdd0 (__TEXT,__text) non-external _glpSADefaultStatement
00000001e510e34c (__TEXT,__text) non-external _glpSADeref
00000001e510d018 (__TEXT,__text) non-external _glpSADiscardStatement
00000001e51049d4 (__TEXT,__text) non-external _glpSADivide
00000001e5104e9c (__TEXT,__text) non-external _glpSAEqual
00000001e510c150 (__TEXT,__text) non-external _glpSAExpressionStatement
00000001e50c1310 (__TEXT,__text) non-external (was a private external) _glpSAFailed
00000001e51034f8 (__TEXT,__text) non-external _glpSAFieldAccess
00000001e50c16fc (__TEXT,__text) non-external (was a private external) _glpSAFieldAccessInternal
00000001e510a10c (__TEXT,__text) non-external _glpSAFieldDeclaration
00000001e5103aec (__TEXT,__text) non-external _glpSAFunctionCall
00000001e5109700 (__TEXT,__text) non-external _glpSAFunctionDefinition
00000001e5106d30 (__TEXT,__text) non-external _glpSAFunctionPrototype
00000001e510bf20 (__TEXT,__text) non-external _glpSAGlobalTypeQualifier
00000001e5104d64 (__TEXT,__text) non-external _glpSAGreater
00000001e5104e00 (__TEXT,__text) non-external _glpSAGreaterEqual
00000001e510d7a0 (__TEXT,__text) non-external _glpSAIBPartialDeref
00000001e5105890 (__TEXT,__text) non-external _glpSAIfExpr
00000001e510c4d8 (__TEXT,__text) non-external _glpSAIfStatement
00000001e510dba8 (__TEXT,__text) non-external _glpSAIncrementOperator
00000001e50c6f08 (__TEXT,__text) non-external (was a private external) _glpSAInlinePPStreamOpFixup
00000001e510a740 (__TEXT,__text) non-external _glpSAInterfaceBlock
00000001e510bc14 (__TEXT,__text) non-external _glpSAKeywordQualifier
00000001e510d700 (__TEXT,__text) non-external _glpSALValue
00000001e510c0c8 (__TEXT,__text) non-external _glpSALayoutPair
00000001e510bc48 (__TEXT,__text) non-external _glpSALayoutQualifier
00000001e510b57c (__TEXT,__text) non-external _glpSALayoutType
00000001e5104c2c (__TEXT,__text) non-external _glpSALess
00000001e5104cc8 (__TEXT,__text) non-external _glpSALessEqual
00000001e51054dc (__TEXT,__text) non-external _glpSALogicalAnd
00000001e51048a8 (__TEXT,__text) non-external _glpSALogicalNot
00000001e51055b4 (__TEXT,__text) non-external _glpSALogicalOr
00000001e510568c (__TEXT,__text) non-external _glpSALogicalXor
00000001e510c64c (__TEXT,__text) non-external _glpSALoopStatement
00000001e50be5e8 (__TEXT,__text) non-external (was a private external) _glpSALowerCallArgsToAssignment
00000001e5104088 (__TEXT,__text) non-external _glpSAMethodCall
00000001e5104a38 (__TEXT,__text) non-external _glpSAModulo
00000001e5104970 (__TEXT,__text) non-external _glpSAMultiply
00000001e5104844 (__TEXT,__text) non-external _glpSANegate
00000001e5102348 (__TEXT,__text) non-external (was a private external) _glpSANode
00000001e51051bc (__TEXT,__text) non-external _glpSANotEqual
00000001e510d628 (__TEXT,__text) non-external _glpSAOffset
00000001e5106534 (__TEXT,__text) non-external _glpSAOpAssign
00000001e510d808 (__TEXT,__text) non-external _glpSAPPStreamOp
00000001e5106af8 (__TEXT,__text) non-external _glpSAParameterDeclaration
00000001e50c66ec (__TEXT,__text) non-external (was a private external) _glpSAPostIncrementOrDecrement
00000001e51046a8 (__TEXT,__text) non-external _glpSAPostdecrement
00000001e5104640 (__TEXT,__text) non-external _glpSAPostincrement
00000001e50c6594 (__TEXT,__text) non-external (was a private external) _glpSAPreIncrementOrDecrement
00000001e5109244 (__TEXT,__text) non-external _glpSAPrecisionDeclaration
00000001e5104778 (__TEXT,__text) non-external _glpSAPredecrement
00000001e5104710 (__TEXT,__text) non-external _glpSAPreincrement
00000001e5109edc (__TEXT,__text) non-external _glpSAPrimitiveType
00000001e51093d0 (__TEXT,__text) non-external _glpSAQualifiedDeclaration
00000001e5109644 (__TEXT,__text) non-external _glpSAQualifiedDeclarationGroup
00000001e5109e44 (__TEXT,__text) non-external _glpSAQualifiedType
00000001e510e2f8 (__TEXT,__text) non-external _glpSAQualifier
00000001e510be74 (__TEXT,__text) non-external _glpSAQualifierList
00000001e510d734 (__TEXT,__text) non-external _glpSARValue
00000001e510d598 (__TEXT,__text) non-external _glpSARawCall
00000001e5106850 (__TEXT,__text) non-external _glpSAReadInput
00000001e510d0dc (__TEXT,__text) non-external _glpSAReturnStatement
00000001e5104b64 (__TEXT,__text) non-external _glpSAShiftLeft
00000001e5104bc8 (__TEXT,__text) non-external _glpSAShiftRight
00000001e50c5ad4 (__TEXT,__text) non-external (was a private external) _glpSASpecialAssert
00000001e510e308 (__TEXT,__text) non-external _glpSAStatement
00000001e510a194 (__TEXT,__text) non-external _glpSAStructType
00000001e510e178 (__TEXT,__text) non-external _glpSAStructure
00000001e5103d50 (__TEXT,__text) non-external _glpSASubroutineArrayCall
00000001e510d5c0 (__TEXT,__text) non-external _glpSASubroutineRawCall
00000001e510bcfc (__TEXT,__text) non-external _glpSASubroutineTypeList
00000001e510d83c (__TEXT,__text) non-external _glpSASubroutineUniform
00000001e5104b00 (__TEXT,__text) non-external _glpSASubtract
00000001e510c744 (__TEXT,__text) non-external _glpSASwitchStatement
00000001e510d3e8 (__TEXT,__text) non-external _glpSATopLevel
00000001e5102aa8 (__TEXT,__text) non-external _glpSATypeConversion
00000001e5102f5c (__TEXT,__text) non-external _glpSATypeIdentifier
00000001e510d864 (__TEXT,__text) non-external _glpSAUnaryOperator
00000001e51047e0 (__TEXT,__text) non-external _glpSAUnaryPlus
00000001e510358c (__TEXT,__text) non-external _glpSAUndeterminedCall
00000001e50c23f0 (__TEXT,__text) non-external (was a private external) _glpSAValidateConstPrecisionConversion
00000001e5107ed8 (__TEXT,__text) non-external _glpSAVariableDeclaration
00000001e51090f0 (__TEXT,__text) non-external _glpSAVariableDeclarationGroup
00000001e5102bac (__TEXT,__text) non-external _glpSAVariableIdentifier
00000001e5106878 (__TEXT,__text) non-external _glpSAWriteOutput
00000001e50a7688 (__TEXT,__text) non-external (was a private external) _glpScalarTypeFromGLPType
