00007ffb43609d98 (__DATA,__data) non-external _.compoundliteral
00007ffb083b8e63 (__TEXT,__text) non-external _glpMakeSwizzle
00007ffb083c4cfb (__TEXT,__text) non-external _glpMakeSwizzle
00007ffb083cd5ba (__TEXT,__text) non-external _glpMakeSwizzle
00007ffb08419fe6 (__TEXT,__text) non-external _glpMakeSwizzle
00007ffb083ed863 (__TEXT,__text) non-external (was a private external) _glpMakeTemporary
00007ffb083f93ae (__TEXT,__text) non-external (was a private external) _glpMakeTopLevelNode
00007ffb083f65ed (__TEXT,__text) non-external (was a private external) _glpMakeTypeConversionNode
00007ffb083f66fa (__TEXT,__text) non-external (was a private external) _glpMakeTypeIdentifierNode
00007ffb083945fb (__TEXT,__text) non-external (was a private external) _glpMakeTypeSize
00007ffb0839400a (__TEXT,__text) non-external (was a private external) _glpMakeTypedValueHash
00007ffb08412460 (__TEXT,__text) non-external (was a private external) _glpMakeTypedVariableFragment
00007ffb083f6d4a (__TEXT,__text) non-external (was a private external) _glpMakeUnaryPlusNode
00007ffb083f692e (__TEXT,__text) non-external (was a private external) _glpMakeUndeterminedCallNode
00007ffb083c382d (__TEXT,__text) non-external (was a private external) _glpMakeUnnamedInterfaceBlockObject
00007ffb08412825 (__TEXT,__text) non-external (was a private external) _glpMakeUnopFuncallFragment
00007ffb08411abd (__TEXT,__text) non-external (was a private external) _glpMakeVRLFunctionFragment
00007ffb083f7d63 (__TEXT,__text) non-external (was a private external) _glpMakeVariableDeclarationGroupNode
00007ffb083f7c62 (__TEXT,__text) non-external (was a private external) _glpMakeVariableDeclarationNode
00007ffb083f6681 (__TEXT,__text) non-external (was a private external) _glpMakeVariableIdentifierNode
00007ffb083c353f (__TEXT,__text) non-external (was a private external) _glpMakeVariableObject
00007ffb083cdc52 (__TEXT,__text) non-external (was a private external) _glpMakeVertexInputBindings
00007ffb08412a16 (__TEXT,__text) non-external (was a private external) _glpMakeWhileFragment
00007ffb083f778e (__TEXT,__text) non-external (was a private external) _glpMakeWriteOutputNode
00007ffb08395040 (__TEXT,__text) non-external _glpMallocAlloc
00007ffb08436ca5 (__TEXT,__text) non-external _glpMallocAlloc
00007ffb08395080 (__TEXT,__text) non-external _glpMallocFree
00007ffb08436ce5 (__TEXT,__text) non-external _glpMallocFree
00007ffb0839505d (__TEXT,__text) non-external _glpMallocRealloc
00007ffb08436cc2 (__TEXT,__text) non-external _glpMallocRealloc
00007ffb083edb21 (__TEXT,__text) non-external (was a private external) _glpMangleSideEffectsWithNewResult
00007ffb083b2de6 (__TEXT,__text) non-external _glpMatchInputSize
00007ffb083b3602 (__TEXT,__text) non-external _glpMatchInputSize3
00007ffb083cdafd (__TEXT,__text) non-external (was a private external) _glpMergeInterfaceBlocks
00007ffb083963f2 (__TEXT,__text) non-external (was a private external) _glpMergeRemapValue
00007ffb083cd8f2 (__TEXT,__text) non-external (was a private external) _glpMergeUniforms
00007ffb083be4f8 (__TEXT,__text) non-external _glpMetalGetArgTypeNameFromASTType
00007ffb083f6b52 (__TEXT,__text) non-external (was a private external) _glpMethodCallNodeGetName
00007ffb083f6b60 (__TEXT,__text) non-external (was a private external) _glpMethodCallNodeGetReceiver
00007ffb083f6b71 (__TEXT,__text) non-external (was a private external) _glpMethodCallNodeSetReceiver
00007ffb0841857e (__TEXT,__text) non-external _glpMutableValueFromVec
00007ffb083d6ecb (__TEXT,__text) non-external (was a private external) _glpNameTableGet
00007ffb083d7b2f (__TEXT,__text) non-external (was a private external) _glpNameTableGetCurrentFunction
00007ffb083d6e7a (__TEXT,__text) non-external (was a private external) _glpNameTableGetGLSLVersion
00007ffb083d6e20 (__TEXT,__text) non-external (was a private external) _glpNameTableGetLanguage
00007ffb083d7b3c (__TEXT,__text) non-external (was a private external) _glpNameTableGetPrecision
00007ffb083d6eb6 (__TEXT,__text) non-external (was a private external) _glpNameTableIsExtensionEnabled
00007ffb083d7ac5 (__TEXT,__text) non-external (was a private external) _glpNameTablePop
00007ffb083d79c4 (__TEXT,__text) non-external (was a private external) _glpNameTablePush
00007ffb083d7a6d (__TEXT,__text) non-external (was a private external) _glpNameTablePushForFunction
00007ffb083d78ac (__TEXT,__text) non-external (was a private external) _glpNameTablePut
00007ffb083d6e2c (__TEXT,__text) non-external (was a private external) _glpNameTablePutPrecision
00007ffb083d6e86 (__TEXT,__text) non-external (was a private external) _glpNameTableSetGLSLExtensionBehavior
00007ffb083d6c04 (__TEXT,__text) non-external (was a private external) _glpNameTableSetGLSLVersion
00007ffb083d7ab5 (__TEXT,__text) non-external (was a private external) _glpNameTableSetStatementIndex
00007ffb083d7b1e (__TEXT,__text) non-external (was a private external) _glpNameTableSetTopLevelBlock
00007ffb083f737e (__TEXT,__text) non-external (was a private external) _glpNotEqualNodeGetIsFromSource
00007ffb083f974c (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetBankIndex
00007ffb083f973a (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetCompStride
00007ffb083f9702 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetExtra
00007ffb083f9766 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetOffsetExpr
00007ffb083f9728 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetPreSwizzlePrimitiveType
00007ffb083f9716 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetSwizzle
00007ffb083f9782 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetVectorElementExpr
00007ffb083f9759 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetBankIndex
00007ffb083f9743 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetCompStride
00007ffb083f970c (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetExtra
00007ffb083f9774 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetOffsetExpr
00007ffb083f9731 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetPreSwizzlePrimitiveType
00007ffb083f971f (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetSwizzle
00007ffb083f9790 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetVectorElementExpr
00007ffb083f777a (__TEXT,__text) non-external (was a private external) _glpOpAssignNodeGetDesugar
00007ffb08395330 (__TEXT,__text) non-external (was a private external) _glpOpenArchive
00007ffb083e1086 (__TEXT,__text) non-external (was a private external) _glpOperatorAsFunctionError
00007ffb0843bfc1 (__TEXT,__text) external _glpPPDisassemble
00007ffb08475630 (__TEXT,__const) non-external _glpPPDisassemble.shaderTargets
00007ffb413a2900 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_filters
00007ffb413a2970 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_formats
00007ffb08475644 (__TEXT,__const) non-external _glpPPDisassemble.tex_types.rel
00007ffb413a2930 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_wraps
00007ffb0843eeba (__TEXT,__text) external _glpPPDisassembleFree
00007ffb0844be00 (__TEXT,__text) external _glpPPShaderLinearize
00007ffb0844be0c (__TEXT,__text) external _glpPPShaderLinearizeEx
00007ffb0844a940 (__TEXT,__text) external _glpPPShaderLinearizeStreamMgr
00007ffb0844a94c (__TEXT,__text) external _glpPPShaderLinearizeStreamMgrEx
00007ffb083f9a55 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetHasOffset
00007ffb083f9a4c (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetHasSrctex
00007ffb083f9a43 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetOpPrimitiveType
00007ffb083f9a3a (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetOpcode
00007ffb083f9a31 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetReturnPrimitiveType
00007ffb08312fa8 (__TEXT,__text) external _glpPPStreamTokenDump
00007ffb08312fb0 (__TEXT,__text) external _glpPPStreamTokenDumpFree
00007ffb0841a41d (__TEXT,__text) non-external _glpPPTFunctionDefinition
00007ffb0841a0c0 (__TEXT,__text) non-external (was a private external) _glpPPTNode
00007ffb0841a62f (__TEXT,__text) non-external _glpPPTRawCall
00007ffb0841a53e (__TEXT,__text) non-external _glpPPTSwitchStatement
00007ffb0841a2a8 (__TEXT,__text) non-external _glpPPTVariableDeclaration
00007ffb08429e09 (__TEXT,__text) non-external (was a private external) _glpPaIdentOrType
00007ffb08429ef4 (__TEXT,__text) non-external (was a private external) _glpPaParseComment
00007ffb0842a6d9 (__TEXT,__text) non-external (was a private external) _glpPaParseStrings
00007ffb08429d38 (__TEXT,__text) non-external (was a private external) _glpPaReservedWord
00007ffb083c24ba (__TEXT,__text) non-external (was a private external) _glpPackConstants
00007ffb083f7a0a (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetExtra
00007ffb083f79fc (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetName
00007ffb083f7a1e (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetType
00007ffb083f7a14 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeSetExtra
00007ffb083f7a2b (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeSetType
00007ffb0842b2c0 (__TEXT,__text) non-external (was a private external) _glpParseContextSetGLSLVersion
00007ffb0842b3dc (__TEXT,__text) non-external (was a private external) _glpParseContextValidateGLSLVersion
00007ffb083dce4c (__TEXT,__text) non-external (was a private external) _glpParseQualifiers
00007ffb083c4e5f (__TEXT,__text) non-external (was a private external) _glpParseRecover
00007ffb08393c45 (__TEXT,__text) non-external (was a private external) _glpPointerHashCache_b
00007ffb08393bf6 (__TEXT,__text) non-external (was a private external) _glpPointerHashGet
00007ffb08393aa2 (__TEXT,__text) non-external (was a private external) _glpPointerHashPut
00007ffb08393c8a (__TEXT,__text) non-external (was a private external) _glpPointerHashRemove
00007ffb083c3f64 (__TEXT,__text) non-external (was a private external) _glpPopulatePrecisionWidths
00007ffb083f7f3c (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetQualifier
00007ffb083f7f56 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetType
00007ffb083f7f49 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetQualifier
00007ffb083f7f64 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetType
00007ffb083c34a1 (__TEXT,__text) non-external (was a private external) _glpPrecisionIndexFromSAFlags
00007ffb083dfbbf (__TEXT,__text) non-external (was a private external) _glpPrecisionQualifierFromSaFlags
00007ffb083d9df4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumnType
00007ffb083d9b0c (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumns
00007ffb083da104 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetElementType
00007ffb083d9f7c (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRowType
00007ffb083d9c80 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRows
00007ffb083da448 (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPDatatype
00007ffb083da26c (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPTextarget
00007ffb083eac80 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeFromString
00007ffb083da80a (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetByteStride
00007ffb083da720 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetBytesPerComponent
00007ffb083d97fc (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetCategory
00007ffb083d97e1 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetGLType
00007ffb083da75b (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetMaxComponentsPerVec4
00007ffb083da798 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetNumVec4s
00007ffb083eac9b (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetPrimitiveType
00007ffb083da6bc (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarCount
00007ffb083da5b4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarType
00007ffb083f82fd (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeNodeGetType
00007ffb083da610 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeReplaceScalarType
00007ffb083acf04 (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType
00007ffb0846985a (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType.cold.1
00007ffb083d9760 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeToString
00007ffb083d998c (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetElementType
00007ffb083d9817 (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetLength
00007ffb083bcbd9 (__TEXT,__text) non-external _glpProcessComponentWiseVectorAssignment
00007ffb0830529e (__TEXT,__text) non-external _glpProgram_PPStreamAddAddressUsage
00007ffb083052c8 (__TEXT,__text) non-external _glpProgram_PPStreamAddAttribBinding
00007ffb08305361 (__TEXT,__text) non-external _glpProgram_PPStreamAddConstant
00007ffb0830536f (__TEXT,__text) non-external _glpProgram_PPStreamAddLabel
00007ffb08305257 (__TEXT,__text) non-external _glpProgram_PPStreamAddOperation
00007ffb08305353 (__TEXT,__text) non-external _glpProgram_PPStreamAddOption
00007ffb08305315 (__TEXT,__text) non-external _glpProgram_PPStreamAddOutputBinding
00007ffb083052ac (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBinding
00007ffb083052ba (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBindingArray
00007ffb08305290 (__TEXT,__text) non-external _glpProgram_PPStreamAddTempUsage
00007ffb083053a8 (__TEXT,__text) non-external _glpProgram_PPStreamResolveBranches
00007ffb0830524a (__TEXT,__text) non-external _glpProgram_PPStreamSetTarget
00007ffb083e4f38 (__TEXT,__text) non-external (was a private external) _glpPushdownPrecision
00007ffb083f8079 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeAddDeclaration
00007ffb083f8059 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclaration
00007ffb083f8050 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclarationCount
00007ffb083f8086 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeInsertDeclaration
00007ffb083f8069 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeSetDeclaration
00007ffb083f7fd9 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetName
00007ffb083f7fe7 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetQualifiers
00007ffb083f7ff4 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeSetQualifiers
00007ffb083f827e (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetQualifiers
00007ffb083f8264 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetType
00007ffb083f828c (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeSetQualifiers
00007ffb083f8271 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeSetType
00007ffb083dcdff (__TEXT,__text) non-external (was a private external) _glpQualifierKindOfNode
00007ffb083dcde0 (__TEXT,__text) non-external (was a private external) _glpQualifierKindToString
00007ffb083f8b0c (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeAddQualifier
00007ffb083f8aec (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeGetQualifier
00007ffb083f8ae3 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeGetQualifierCount
00007ffb083f8b19 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeInsertQualifier
