000000018017fc60 (__TEXT,__text) non-external K256
0000000180151b60 (__TEXT,__text) non-external __ZZN5dyld412RuntimeLocks20withLoadersWriteLockIZNS_4APIs28_dyld_pseudodylib_deregisterEP24_dyld_pseudodylib_opaqueE3$_0EEvT_ENKUlvE_clEv
00000001801234d4 (__TEXT,__text) non-external __ZZN5dyld412RuntimeLocks37withLoadersWriteLockAndProtectedStackIZNS_12RuntimeState13decDlRefCountEPKNS_6LoaderEE3$_0EEvT_ENKUlvE_clEv
000000018018ed44 (__TEXT,__text) non-external __ZZN5dyld412RuntimeLocks37withLoadersWriteLockAndProtectedStackIZNS_12RuntimeState13decDlRefCountEPKNS_6LoaderEE3$_0EEvT_ENKUlvE_clEv.cold.1
000000018014fc60 (__TEXT,__text) non-external __ZZN5dyld412RuntimeLocks37withLoadersWriteLockAndProtectedStackIZZNS_4APIs11dlopen_fromEPKciPvENK3$_0clEvEUlvE_EEvT_ENKUlvE_clEv
000000018018ed44 (__TEXT,__text) non-external __ZZN5dyld412RuntimeLocks37withLoadersWriteLockAndProtectedStackIZZNS_4APIs11dlopen_fromEPKciPvENK3$_0clEvEUlvE_EEvT_ENKUlvE_clEv.cold.1
0000000180123b68 (__TEXT,__text) non-external __ZZN5dyld412RuntimeState10notifyLoadERKNSt3__14spanIPKNS_6LoaderELm18446744073709551615EEEENK3$_0clEv
0000000180122adc (__TEXT,__text) non-external __ZZN5dyld412RuntimeState12setUpLoggingEvENK3$_0clEv
0000000180122158 (__TEXT,__text) non-external __ZZN5dyld412RuntimeState28rebindMissingFlatLazySymbolsERKNSt3__14spanIPKNS_6LoaderELm18446744073709551615EEEENK3$_0clERKNS0_17MissingFlatSymbolE
00000001ee4cfc90 (__DATA_CONST,__const) non-external __ZZN5dyld413ProcessConfig9DyldCache24isProtectedLibSystemPathEPKcE14protectedPaths
000000018014f390 (__TEXT,__text) non-external __ZZN5dyld44APIs11dlopen_fromEPKciPvENK3$_0clEv
0000000180192188 (__TEXT,__const) non-external __ZZN5dyld44APIs23deriveVersionFromDylibsEPKN6mach_o6HeaderEE14versionMapping
00000001801515f0 (__TEXT,__text) non-external __ZZN5dyld44APIs36_dyld_pseudodylib_register_callbacksEPKNS_28PseudoDylibRegisterCallbacksEENK3$_0clEv
000000018010e448 (__TEXT,__text) non-external __ZZN5dyld45startEPNS_10KernelArgsEPvS2_ENK3$_1clEv
000000018010e268 (__TEXT,__text) non-external __ZZN5dyld4L17handleDyldInCacheERN3lsl9AllocatorEPKN6mach_o6HeaderEPKNS_10KernelArgsES6_ENK3$_2clEv
00000001edb42788 (__DATA,__data) non-external __ZZNK12objc_visitor7Visitor19findObjCDataSectionEPKcE16objcDataSegments
000000018012fd9c (__TEXT,__text) non-external __ZZNK5dyld46Loader38runInitializersBottomUpPlusUpwardLinksERNS_12RuntimeStateEENK3$_0clEv
00000001ee4d3640 (__DATA_CONST,__const) non-external __ZZNK6mach_o25ChainedFixupPointerOnDisk8Kernel647keyNameEvE5names
00000001ee4d51c8 (__DATA_CONST,__const) non-external __ZZNK6mach_o6Header19loadableIntoProcessENS_8PlatformE7CStringbE9macOSHost
00000001edb438c0 (__DATA,__bss) non-external __ZZZN5dyld423ExternallyViewableState34notifyMonitorOfImageListChangesSimEbjPPK11mach_headerPPKcEUb_E15glueFileManager
00000001edb438c8 (__DATA,__bss) non-external __ZZZN5dyld438setExternallyViewableStateToTerminatedEPKcENK3$_0clEvE19sAlreadyTerminating
000000018014fd94 (__TEXT,__text) non-external __ZZZN5dyld44APIs11dlopen_fromEPKciPvENK3$_0clEvENKUlvE_clEv
000000018018e940 (__TEXT,__text) non-external __ZZZN5dyld44APIs11dlopen_fromEPKciPvENK3$_0clEvENKUlvE_clEv.cold.1
000000018010dfcc (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001801141e8 (__TEXT,__text) non-external ___Block_byref_object_copy_
0000000180119088 (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001801292d8 (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001801311f4 (__TEXT,__text) non-external ___Block_byref_object_copy_
000000018014120c (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001801598e4 (__TEXT,__text) non-external ___Block_byref_object_copy_
000000018015afd4 (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001801607f0 (__TEXT,__text) non-external ___Block_byref_object_copy_
0000000180168280 (__TEXT,__text) non-external ___Block_byref_object_copy_
0000000180171dfc (__TEXT,__text) non-external ___Block_byref_object_copy_
0000000180182358 (__TEXT,__text) non-external ___Block_byref_object_copy_
000000018018b0e4 (__TEXT,__text) non-external ___Block_byref_object_copy_
0000000180134014 (__TEXT,__text) non-external ___Block_byref_object_copy_.106
0000000180145384 (__TEXT,__text) non-external ___Block_byref_object_copy_.114
000000018010e078 (__TEXT,__text) non-external ___Block_byref_object_copy_.12
000000018012c608 (__TEXT,__text) non-external ___Block_byref_object_copy_.144
0000000180124a70 (__TEXT,__text) non-external ___Block_byref_object_copy_.184
0000000180182734 (__TEXT,__text) non-external ___Block_byref_object_copy_.21
000000018012ef80 (__TEXT,__text) non-external ___Block_byref_object_copy_.218
00000001801322fc (__TEXT,__text) non-external ___Block_byref_object_copy_.27
000000018013235c (__TEXT,__text) non-external ___Block_byref_object_copy_.29
000000018016a6f8 (__TEXT,__text) non-external ___Block_byref_object_copy_.337
0000000180187a90 (__TEXT,__text) non-external ___Block_byref_object_copy_.377
000000018010fd20 (__TEXT,__text) non-external ___Block_byref_object_copy_.41
000000018011a63c (__TEXT,__text) non-external ___Block_byref_object_copy_.47
000000018011afe0 (__TEXT,__text) non-external ___Block_byref_object_copy_.50
000000018011aff8 (__TEXT,__text) non-external ___Block_byref_object_copy_.52
000000018011b058 (__TEXT,__text) non-external ___Block_byref_object_copy_.54
000000018011b2c0 (__TEXT,__text) non-external ___Block_byref_object_copy_.56
000000018011b320 (__TEXT,__text) non-external ___Block_byref_object_copy_.58
00000001801846ac (__TEXT,__text) non-external ___Block_byref_object_copy_.71
0000000180161d50 (__TEXT,__text) non-external ___Block_byref_object_copy_.74
0000000180133608 (__TEXT,__text) non-external ___Block_byref_object_copy_.83
000000018011bcc4 (__TEXT,__text) non-external ___Block_byref_object_copy_.86
00000001801374c0 (__TEXT,__text) non-external ___Block_byref_object_copy_.87
000000018011c714 (__TEXT,__text) non-external ___Block_byref_object_copy_.93
000000018018c980 (__TEXT,__text) non-external ___Block_byref_object_copy_.96
000000018011cc94 (__TEXT,__text) non-external ___Block_byref_object_copy_.98
0000000180144824 (__TEXT,__text) non-external ___Block_byref_object_copy_.99
000000018010dfd8 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00000001801141f4 (__TEXT,__text) non-external ___Block_byref_object_dispose_
0000000180119094 (__TEXT,__text) non-external ___Block_byref_object_dispose_
0000000180129310 (__TEXT,__text) non-external ___Block_byref_object_dispose_
000000018013125c (__TEXT,__text) non-external ___Block_byref_object_dispose_
0000000180141218 (__TEXT,__text) non-external ___Block_byref_object_dispose_
000000018015991c (__TEXT,__text) non-external ___Block_byref_object_dispose_
000000018015aff0 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00000001801607fc (__TEXT,__text) non-external ___Block_byref_object_dispose_
00000001801682c0 (__TEXT,__text) non-external ___Block_byref_object_dispose_
0000000180171e10 (__TEXT,__text) non-external ___Block_byref_object_dispose_
0000000180182374 (__TEXT,__text) non-external ___Block_byref_object_dispose_
000000018018b0f0 (__TEXT,__text) non-external ___Block_byref_object_dispose_
0000000180144830 (__TEXT,__text) non-external ___Block_byref_object_dispose_.100
0000000180134020 (__TEXT,__text) non-external ___Block_byref_object_dispose_.107
00000001801453a0 (__TEXT,__text) non-external ___Block_byref_object_dispose_.115
000000018010e08c (__TEXT,__text) non-external ___Block_byref_object_dispose_.13
000000018012c624 (__TEXT,__text) non-external ___Block_byref_object_dispose_.145
0000000180124a84 (__TEXT,__text) non-external ___Block_byref_object_dispose_.185
000000018012ef8c (__TEXT,__text) non-external ___Block_byref_object_dispose_.219
0000000180182740 (__TEXT,__text) non-external ___Block_byref_object_dispose_.22
0000000180132334 (__TEXT,__text) non-external ___Block_byref_object_dispose_.28
0000000180132394 (__TEXT,__text) non-external ___Block_byref_object_dispose_.30
000000018016a70c (__TEXT,__text) non-external ___Block_byref_object_dispose_.338
0000000180187a9c (__TEXT,__text) non-external ___Block_byref_object_dispose_.378
000000018010fd34 (__TEXT,__text) non-external ___Block_byref_object_dispose_.42
000000018011a674 (__TEXT,__text) non-external ___Block_byref_object_dispose_.48
000000018011aff4 (__TEXT,__text) non-external ___Block_byref_object_dispose_.51
000000018011b030 (__TEXT,__text) non-external ___Block_byref_object_dispose_.53
000000018011b064 (__TEXT,__text) non-external ___Block_byref_object_dispose_.55
000000018011b2f8 (__TEXT,__text) non-external ___Block_byref_object_dispose_.57
000000018011b358 (__TEXT,__text) non-external ___Block_byref_object_dispose_.59
00000001801846e4 (__TEXT,__text) non-external ___Block_byref_object_dispose_.72
0000000180161d64 (__TEXT,__text) non-external ___Block_byref_object_dispose_.75
000000018013361c (__TEXT,__text) non-external ___Block_byref_object_dispose_.84
000000018011bcfc (__TEXT,__text) non-external ___Block_byref_object_dispose_.87
0000000180137528 (__TEXT,__text) non-external ___Block_byref_object_dispose_.88
000000018011c74c (__TEXT,__text) non-external ___Block_byref_object_dispose_.94
000000018018c9a4 (__TEXT,__text) non-external ___Block_byref_object_dispose_.97
000000018011cca8 (__TEXT,__text) non-external ___Block_byref_object_dispose_.99
000000018015b374 (__TEXT,__text) non-external ____ZN12objc_visitor7Visitor24forEachClassAndMetaClassEU13block_pointerFvRKNS_5ClassERbE_block_invoke
0000000180152464 (__TEXT,__text) non-external ____ZN13prebuilt_objc12forEachClassEPKvU13block_pointerFvRKN5dyld414PrebuiltLoader13BindTargetRefERKN5dyld35ArrayIPS5_EEE_block_invoke
000000018018e940 (__TEXT,__text) non-external ____ZN13prebuilt_objc12forEachClassEPKvU13block_pointerFvRKN5dyld414PrebuiltLoader13BindTargetRefERKN5dyld35ArrayIPS5_EEE_block_invoke.cold.1
0000000180152174 (__TEXT,__text) non-external ____ZN13prebuilt_objc12forEachClassEPN5dyld412RuntimeStateERKN5dyld312MultiMapViewINS_19ObjCStringKeyOnDiskENS_24ObjCObjectOnDiskLocationENS_23HashObjCStringKeyOnDiskENS_24EqualObjCStringKeyOnDiskEEEPKcU13block_pointerFvRKNS3_5ArrayIPKNS0_14PrebuiltLoader13BindTargetRefEEEE_block_invoke
000000018018e940 (__TEXT,__text) non-external ____ZN13prebuilt_objc12forEachClassEPN5dyld412RuntimeStateERKN5dyld312MultiMapViewINS_19ObjCStringKeyOnDiskENS_24ObjCObjectOnDiskLocationENS_23HashObjCStringKeyOnDiskENS_24EqualObjCStringKeyOnDiskEEEPKcU13block_pointerFvRKNS3_5ArrayIPKNS0_14PrebuiltLoader13BindTargetRefEEEE_block_invoke.cold.1
00000001801522e0 (__TEXT,__text) non-external ____ZN13prebuilt_objc15forEachProtocolEPN5dyld412RuntimeStateERKN5dyld312MultiMapViewINS_19ObjCStringKeyOnDiskENS_24ObjCObjectOnDiskLocationENS_23HashObjCStringKeyOnDiskENS_24EqualObjCStringKeyOnDiskEEEPKcU13block_pointerFvRKNS3_5ArrayIPKNS0_14PrebuiltLoader13BindTargetRefEEEE_block_invoke
000000018018e940 (__TEXT,__text) non-external ____ZN13prebuilt_objc15forEachProtocolEPN5dyld412RuntimeStateERKN5dyld312MultiMapViewINS_19ObjCStringKeyOnDiskENS_24ObjCObjectOnDiskLocationENS_23HashObjCStringKeyOnDiskENS_24EqualObjCStringKeyOnDiskEEEPKcU13block_pointerFvRKNS3_5ArrayIPKNS0_14PrebuiltLoader13BindTargetRefEEEE_block_invoke.cold.1
000000018013a890 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager12writeProtectEb_block_invoke
0000000180123684 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager18withProtectedStackIZZN5dyld412RuntimeLocks37withLoadersWriteLockAndProtectedStackIZNS2_12RuntimeState13decDlRefCountEPKNS2_6LoaderEE3$_0EEvT_ENKUlvE_clEvEUlvE_EEvSA__block_invoke
00000001801505b0 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager18withProtectedStackIZZN5dyld412RuntimeLocks37withLoadersWriteLockAndProtectedStackIZZNS2_4APIs11dlopen_fromEPKciPvENK3$_0clEvEUlvE_EEvT_ENKUlvE_clEvEUlvE_EEvSB__block_invoke
0000000180121b8c (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFPcPvPKvEEclIJRKS5_SD_EEEDaDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESL__block_invoke
0000000180121a6c (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFPcPvPKvPKcEEclIJRKS5_SF_RS9_EEEDaDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESO__block_invoke
0000000180121ddc (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFPcPvPKvPPKcmEEclIJRKS5_SG_SA_mEEEDaDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESO__block_invoke
0000000180121ca8 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFPcPvPKvPPKcmPS5_PyEEclIJRKS5_SI_SA_mSB_SC_EEEDaDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESQ__block_invoke
000000018012202c (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFPcPvPKvS7_PbP20dyld_unwind_sectionsEEclIJRKS5_SG_RS7_RS8_RSA_EEEDaDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESR__block_invoke
0000000180121f04 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFiPvPKvS6_P7dl_infoEEclIJRKS4_SE_RS6_RS8_EEEDaDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESO__block_invoke
0000000180150b00 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvPK11mach_headerPKcbEEclIJRPKN5dyld311MachOLoadedES8_bEEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESO__block_invoke
00000001801243c8 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvPK11mach_headerPvS6_PKvEEclIJRKS6_S7_SF_S9_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESM__block_invoke
0000000180123814 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvPK11mach_headerlEEclIJRPKN5dyld311MachOLoadedERKmEEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESO__block_invoke
000000018012392c (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvPK11mach_headerlEEclIJRPKN5dyld311MachOLoadedElEEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESM__block_invoke
000000018014f1a0 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvPK11mach_headerlEEclIJRS6_RlEEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESJ__block_invoke
0000000180125168 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvPK29_dyld_objc_notify_mapped_infoEEclIJPS4_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESI__block_invoke
0000000180151d30 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvPKcEEclIJRS5_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESH__block_invoke
0000000180124068 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvPKcPK11mach_headerEEclIJS5_PKN5dyld311MachOLoadedEEEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESN__block_invoke
0000000180151f60 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvPKvmEEclIJRS5_mEEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESH__block_invoke
0000000180122980 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvPcEEclIJRS4_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESG__block_invoke
0000000180123f4c (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvjPK29_dyld_objc_notify_mapped_infoU13block_pointerFvjEEEclIJRjPS4_RS8_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESM__block_invoke
0000000180124d3c (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvjPK29_dyld_objc_notify_mapped_infoU13block_pointerFvjEEEclIJRjRS6_RS8_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESM__block_invoke
0000000180123a44 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvjPPK11mach_headerPPKcEEclIJRKjS7_SA_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESN__block_invoke
0000000180150c1c (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIPFvjPPK11mach_headerPPKcEEclIJRjS7_SA_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESM__block_invoke
0000000180150d38 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIU13block_pointerFvPK33dyld_shared_cache_dylib_text_infoEEclIJPS4_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESI__block_invoke
0000000180151098 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIU13block_pointerFvPKvEEclIJS5_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESG__block_invoke
0000000180150f74 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIU13block_pointerFvPvbPbEEclIJPhbS5_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESH__block_invoke
0000000180150e50 (__TEXT,__text) non-external ____ZN3lsl13MemoryManager22withReadOnlyTPROMemoryIZNK5dyld416ReadOnlyCallbackIU13block_pointerFvPvbPbEEclIJS4_bS5_EEEvDpOT_EUlvE_EEN13callback_impl11return_typeIDTadsrT_onclEE4typeESG__block_invoke
