00000001e7e705e8 (__DATA,__data) non-external _.compoundliteral
00000001d728b820 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetOffsetExpr
00000001d728b7e8 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetPreSwizzlePrimitiveType
00000001d728b7d8 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetSwizzle
00000001d728b838 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetVectorElementExpr
00000001d728b814 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetBankIndex
00000001d728b800 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetCompStride
00000001d728b7d0 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetExtra
00000001d728b82c (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetOffsetExpr
00000001d728b7f0 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetPreSwizzlePrimitiveType
00000001d728b7e0 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetSwizzle
00000001d728b844 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetVectorElementExpr
00000001d7289140 (__TEXT,__text) non-external (was a private external) _glpOpAssignNodeGetDesugar
00000001d722e804 (__TEXT,__text) non-external (was a private external) _glpOpenArchive
00000001d7271c78 (__TEXT,__text) non-external (was a private external) _glpOperatorAsFunctionError
00000001d72cf290 (__TEXT,__text) external _glpPPDisassemble
00000001d730469c (__TEXT,__const) non-external _glpPPDisassemble.shaderTargets
00000001e4f87460 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_filters
00000001e4f874d0 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_formats
00000001e4f875b0 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_types
00000001e4f87490 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_wraps
00000001d72d2260 (__TEXT,__text) external _glpPPDisassembleFree
00000001d72dddac (__TEXT,__text) external _glpPPShaderLinearize
00000001d72dddb4 (__TEXT,__text) external _glpPPShaderLinearizeEx
00000001d72dc820 (__TEXT,__text) external _glpPPShaderLinearizeStreamMgr
00000001d72dc828 (__TEXT,__text) external _glpPPShaderLinearizeStreamMgrEx
00000001d728bb74 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetHasOffset
00000001d728bb6c (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetHasSrctex
00000001d728bb64 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetOpPrimitiveType
00000001d728bb5c (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetOpcode
00000001d728bb54 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetReturnPrimitiveType
00000001d71c4c7c (__TEXT,__text) external _glpPPStreamTokenDump
00000001d71c4c84 (__TEXT,__text) external _glpPPStreamTokenDumpFree
00000001d72aef7c (__TEXT,__text) non-external _glpPPTFunctionDefinition
00000001d72aebb0 (__TEXT,__text) non-external (was a private external) _glpPPTNode
00000001d72af1a0 (__TEXT,__text) non-external _glpPPTRawCall
00000001d72af0a8 (__TEXT,__text) non-external _glpPPTSwitchStatement
00000001d72aee10 (__TEXT,__text) non-external _glpPPTVariableDeclaration
00000001d72be2c4 (__TEXT,__text) non-external (was a private external) _glpPaIdentOrType
00000001d72be3f0 (__TEXT,__text) non-external (was a private external) _glpPaParseComment
00000001d72bec10 (__TEXT,__text) non-external (was a private external) _glpPaParseStrings
00000001d72be1f0 (__TEXT,__text) non-external (was a private external) _glpPaReservedWord
00000001d7255c24 (__TEXT,__text) non-external (was a private external) _glpPackConstants
00000001d7289458 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetExtra
00000001d728944c (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetName
00000001d7289468 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetType
00000001d7289460 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeSetExtra
00000001d7289474 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeSetType
00000001d72bf810 (__TEXT,__text) non-external (was a private external) _glpParseContextSetGLSLVersion
00000001d72bf93c (__TEXT,__text) non-external (was a private external) _glpParseContextValidateGLSLVersion
00000001d726dfec (__TEXT,__text) non-external (was a private external) _glpParseQualifiers
00000001d725852c (__TEXT,__text) non-external (was a private external) _glpParseRecover
00000001d722cd50 (__TEXT,__text) non-external (was a private external) _glpPointerHashCache_b
00000001d722ccec (__TEXT,__text) non-external (was a private external) _glpPointerHashGet
00000001d722cb34 (__TEXT,__text) non-external (was a private external) _glpPointerHashPut
00000001d722cdb0 (__TEXT,__text) non-external (was a private external) _glpPointerHashRemove
00000001d72575ac (__TEXT,__text) non-external (was a private external) _glpPopulatePrecisionWidths
00000001d7289a6c (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetQualifier
00000001d7289a84 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetType
00000001d7289a78 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetQualifier
00000001d7289a90 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetType
00000001d7256a68 (__TEXT,__text) non-external (was a private external) _glpPrecisionIndexFromSAFlags
00000001d72707a0 (__TEXT,__text) non-external (was a private external) _glpPrecisionQualifierFromSaFlags
00000001d726ae88 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumnType
00000001d726ab60 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumns
00000001d726b1e0 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetElementType
00000001d726b034 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRowType
00000001d726acf4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRows
00000001d726b578 (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPDatatype
00000001d726b36c (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPTextarget
00000001d727b5f0 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeFromString
00000001d726ba9c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetByteStride
00000001d726b964 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetBytesPerComponent
00000001d726a7f4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetCategory
00000001d726a7c8 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetGLType
00000001d726b9b8 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetMaxComponentsPerVec4
00000001d726ba14 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetNumVec4s
00000001d727b61c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetPrimitiveType
00000001d726b8c4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarCount
00000001d726b70c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarType
00000001d7289f00 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeNodeGetType
00000001d726b7b4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeReplaceScalarType
00000001d72428d8 (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType
00000001d72f9254 (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType.cold.1
00000001d726a6d4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeToString
00000001d726a9bc (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetElementType
00000001d726a820 (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetLength
00000001d7250b30 (__TEXT,__text) non-external _glpProcessComponentWiseVectorAssignment
00000001d71b8d04 (__TEXT,__text) non-external _glpProgram_PPStreamAddAddressUsage
00000001d71b8d1c (__TEXT,__text) non-external _glpProgram_PPStreamAddAttribBinding
00000001d71b8de0 (__TEXT,__text) non-external _glpProgram_PPStreamAddConstant
00000001d71b8de8 (__TEXT,__text) non-external _glpProgram_PPStreamAddLabel
00000001d71b8ca8 (__TEXT,__text) non-external _glpProgram_PPStreamAddOperation
00000001d71b8dd8 (__TEXT,__text) non-external _glpProgram_PPStreamAddOption
00000001d71b8d84 (__TEXT,__text) non-external _glpProgram_PPStreamAddOutputBinding
00000001d71b8d0c (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBinding
00000001d71b8d14 (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBindingArray
00000001d71b8cfc (__TEXT,__text) non-external _glpProgram_PPStreamAddTempUsage
00000001d71b8e3c (__TEXT,__text) non-external _glpProgram_PPStreamResolveBranches
00000001d71b8c9c (__TEXT,__text) non-external _glpProgram_PPStreamSetTarget
00000001d7275ac4 (__TEXT,__text) non-external (was a private external) _glpPushdownPrecision
00000001d7289be4 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeAddDeclaration
00000001d7289bcc (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclaration
00000001d7289bc4 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclarationCount
00000001d7289bec (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeInsertDeclaration
00000001d7289bd8 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeSetDeclaration
00000001d7289b30 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetName
00000001d7289b3c (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetQualifiers
00000001d7289b48 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeSetQualifiers
00000001d7289e68 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetQualifiers
00000001d7289e50 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetType
00000001d7289e74 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeSetQualifiers
00000001d7289e5c (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeSetType
00000001d726df80 (__TEXT,__text) non-external (was a private external) _glpQualifierKindOfNode
00000001d726df54 (__TEXT,__text) non-external (was a private external) _glpQualifierKindToString
00000001d728a898 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeAddQualifier
00000001d728a880 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeGetQualifier
00000001d728a878 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeGetQualifierCount
00000001d728a8a0 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeInsertQualifier
00000001d728a88c (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeSetQualifier
00000001d726bab8 (__TEXT,__text) non-external (was a private external) _glpQualifierName
00000001d728b9e0 (__TEXT,__text) non-external (was a private external) _glpRValueNodeGetBase
00000001d728b9ec (__TEXT,__text) non-external (was a private external) _glpRValueNodeSetBase
00000001d728b648 (__TEXT,__text) non-external (was a private external) _glpRawCallNodeGetExtra
00000001d728b63c (__TEXT,__text) non-external (was a private external) _glpRawCallNodeGetName
00000001d728b650 (__TEXT,__text) non-external (was a private external) _glpRawCallNodeSetExtra
00000001d727670c (__TEXT,__text) non-external (was a private external) _glpReInitDeserialContext
00000001d7289148 (__TEXT,__text) non-external (was a private external) _glpReadInputNodeGetExtra
00000001d72813b4 (__TEXT,__text) non-external (was a private external) _glpRemapValue
00000001d72bf4cc (__TEXT,__text) non-external (was a private external) _glpResetErrMsg
00000001d728b398 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeGetExpr
00000001d728b388 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeGetExtra
00000001d728b3a4 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeSetExpr
00000001d728b390 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeSetExtra
00000001d72b1b68 (__TEXT,__text) non-external _glpSAAdd
00000001d72b02d0 (__TEXT,__text) non-external _glpSAArrayAccess
00000001d72b6f50 (__TEXT,__text) non-external _glpSAArrayType
00000001d72b2e44 (__TEXT,__text) non-external _glpSAAssign
00000001d72ba438 (__TEXT,__text) non-external _glpSAAvailabilityDeclaration
00000001d72bab6c (__TEXT,__text) non-external _glpSABinaryOperator
00000001d72b2830 (__TEXT,__text) non-external _glpSABitwiseAnd
00000001d72b19d8 (__TEXT,__text) non-external _glpSABitwiseNot
00000001d72b2894 (__TEXT,__text) non-external _glpSABitwiseOr
00000001d72b28f8 (__TEXT,__text) non-external _glpSABitwiseXor
00000001d72b9270 (__TEXT,__text) non-external _glpSABlock
00000001d72b9dd8 (__TEXT,__text) non-external _glpSABreakStatement
00000001d7274da4 (__TEXT,__text) non-external (was a private external) _glpSABuiltinPPStreamOp
00000001d72ba820 (__TEXT,__text) non-external _glpSACall
00000001d72b9c70 (__TEXT,__text) non-external _glpSACaseStatement
00000001d72b3934 (__TEXT,__text) non-external _glpSACommaExpr
00000001d72b0290 (__TEXT,__text) non-external _glpSAConstant
00000001d72b1684 (__TEXT,__text) non-external _glpSAConstructorCall
00000001d72b9e7c (__TEXT,__text) non-external _glpSAContinueStatement
00000001d72b9d48 (__TEXT,__text) non-external _glpSADefaultStatement
00000001d72bb16c (__TEXT,__text) non-external _glpSADeref
00000001d72b9f18 (__TEXT,__text) non-external _glpSADiscardStatement
00000001d72b1aa0 (__TEXT,__text) non-external _glpSADivide
00000001d72b1f68 (__TEXT,__text) non-external _glpSAEqual
00000001d72b90f8 (__TEXT,__text) non-external _glpSAExpressionStatement
00000001d726f7dc (__TEXT,__text) non-external (was a private external) _glpSAFailed
00000001d72b05cc (__TEXT,__text) non-external _glpSAFieldAccess
00000001d726fbc8 (__TEXT,__text) non-external (was a private external) _glpSAFieldAccessInternal
00000001d72b7128 (__TEXT,__text) non-external _glpSAFieldDeclaration
00000001d72b0bb8 (__TEXT,__text) non-external _glpSAFunctionCall
00000001d72b6750 (__TEXT,__text) non-external _glpSAFunctionDefinition
00000001d72b3db4 (__TEXT,__text) non-external _glpSAFunctionPrototype
