00000001a0175840 (__TEXT,__text) non-external +[Calculate _lock]
00000001a02e9aa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$synchronous
00000001a02e9ac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$systemLocale
00000001a02e9ae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$systemLocales
00000001a02e9b00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$termWithValue:units:result:
00000001a02e9b20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$terms
00000001a02e9b40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$text
00000001a02e9b60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeIntervalSinceDate:
00000001a02e9b80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeIntervalSinceReferenceDate
00000001a02e9ba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeout
00000001a02e9bc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tokenType
00000001a02e9be0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tokenWithType:range:text:ranks:
00000001a02e9c00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tokenizerWithUnits:
00000001a02e9c20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$trie
00000001a02e9c40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$typeInfo
00000001a02e9c60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitExponent
00000001a02e9c80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitFormat
00000001a02e9ca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitID
00000001a02e9cc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitIDToInfo
00000001a02e9ce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitInfo
00000001a02e9d00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitNameToInfo
00000001a02e9d20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitNames
00000001a02e9d40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitRanksWithUnitsInfo:
00000001a02e9d60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitType
00000001a02e9d80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitTypeNameToInfo
00000001a02e9da0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitTypeToInfo
00000001a02e9dc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitWithID:unitsInfo:exponent:
00000001a02e9de0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$units
00000001a02e9e00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitsInfo
00000001a02e9e20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitsInfoWithDictionary:
00000001a02e9e40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unlock
00000001a02e9e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$update
00000001a02e9e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$updateCurrencyCacheWithData:
00000001a02e9ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$usesGroupingSeparator
00000001a02e9ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$usesSignificantDigits
00000001a02e9ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$usesWhitespace
00000001a02e9f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$uuid
00000001a02e9f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
00000001a02e9f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$whitespaceCharacterSet
00000001a02e9f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$wordBreakIndices
00000001a02e9f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$wordBreakIndicesIndex
00000001a02e9fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$writeCharacter:
00000001a02e9fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$writeNode:
00000001a02e9fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$zero
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
00000001e73caac8 (__DATA,__bss) non-external _openParenthesesSet
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
00000001e73cab18 (__DATA,__bss) non-external _outputUnitIndex
                 (undefined) external _pow (from libSystem)
                 (undefined) external _raise (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _remainder (from libSystem)
00000001e73ca378 (__DATA,__data) non-external _sCalculateLock
00000001e73ca9d0 (__DATA,__bss) non-external _serialQueue.onceToken
00000001e73ca9d8 (__DATA,__bss) non-external _serialQueue.queue
00000001e73ca328 (__DATA,__data) non-external _shared.onceToken
00000001e73ca320 (__DATA,__data) non-external _shared.shared
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinh (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _strtold (from libSystem)
                 (undefined) external _strtoull (from libSystem)
00000001e73caab0 (__DATA,__bss) non-external _subtractSet
00000001e73caae8 (__DATA,__bss) non-external _symbolSet
                 (undefined) external _tan (from libSystem)
                 (undefined) external _tanh (from libSystem)
                 (undefined) external _tgamma (from libSystem)
00000001e73caa18 (__DATA,__bss) non-external _tmp_unitSuggestions
00000001e73caa20 (__DATA,__bss) non-external _tmp_unitSuggestionsSet
00000001e73caa28 (__DATA,__bss) non-external _tmp_unitsInfo
00000001a01535e0 (__TEXT,__text) non-external _treeDecimalValue
00000001a01574a8 (__TEXT,__text) non-external _trivialCoefficient
                 (undefined) external _u_austrcpy (from libicucore)
                 (undefined) external _u_charDigitValue (from libicucore)
                 (undefined) external _u_isdigit (from libicucore)
                 (undefined) external _u_uastrncpy (from libicucore)
00000001e73ca380 (__DATA,__data) non-external _unitsInfo
                 (undefined) external _unum_close (from libicucore)
                 (undefined) external _unum_formatDoubleCurrency (from libicucore)
                 (undefined) external _unum_open (from libicucore)
00000001e73ca968 (__DATA,__bss) non-external _usesWhitespace.nonWhitespaceLanguages
00000001e73ca970 (__DATA,__bss) non-external _usesWhitespace.onceToken
00000001e73caa98 (__DATA,__bss) non-external _whitespaceSet
                 (undefined) external _y0 (from libSystem)
                 (undefined) external _y1 (from libSystem)
00000001a01a63da (__TEXT,__const) non-external _yy_accept
00000001a01a6aee (__TEXT,__const) non-external _yy_base
00000001e73ca340 (__DATA,__data) non-external _yy_buffer_stack
00000001e73ca370 (__DATA,__data) non-external _yy_buffer_stack_max
00000001e73ca348 (__DATA,__data) non-external _yy_c_buf_p
00000001a01a6662 (__TEXT,__const) non-external _yy_chk
00000001a01a6d82 (__TEXT,__const) non-external _yy_def
00000001a01a62d9 (__TEXT,__const) non-external _yy_ec
00000001a0181dec (__TEXT,__text) non-external _yy_fatal_error
00000001a0181d18 (__TEXT,__text) non-external _yy_get_previous_state
00000001e73ca350 (__DATA,__data) non-external _yy_hold_char
00000001e73ca338 (__DATA,__data) non-external _yy_init
00000001e73ca358 (__DATA,__data) non-external _yy_last_accepting_cpos
00000001e73ca354 (__DATA,__data) non-external _yy_last_accepting_state
00000001a01a7016 (__TEXT,__const) non-external _yy_meta
00000001e73ca368 (__DATA,__data) non-external _yy_n_chars
00000001a01a7064 (__TEXT,__const) non-external _yy_nxt
00000001a01a74f0 (__TEXT,__const) non-external _yy_rule_can_match_eol
00000001e73ca33c (__DATA,__data) non-external _yy_start
00000001e73ca2ac (__DATA,__data) non-external _yychar
00000001a01a5152 (__TEXT,__const) non-external _yycheck
00000001a01a5efe (__TEXT,__const) non-external _yydefact
00000001a01a6168 (__TEXT,__const) non-external _yydefgoto
00000001e73ca478 (__DATA,__bss) non-external _yylval
00000001e73ca2b8 (__DATA,__data) non-external _yynerrs
00000001a01a4d9c (__TEXT,__const) non-external _yypact
00000001a01a6130 (__TEXT,__const) non-external _yypgoto
00000001a01a60b3 (__TEXT,__const) non-external _yyr1
00000001a01a6037 (__TEXT,__const) non-external _yyr2
00000001a01a61a0 (__TEXT,__const) non-external _yystos
00000001a01a5828 (__TEXT,__const) non-external _yytable
00000001a01a500e (__TEXT,__const) non-external _yytranslate
