000000019dcd25d0 (__TEXT,__text) non-external +[Calculate _lock]
000000019de46ca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitID
000000019de46cc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitIDToInfo
000000019de46ce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitInfo
000000019de46d00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitNameToInfo
000000019de46d20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitNames
000000019de46d40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitRanksWithUnitsInfo:
000000019de46d60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitType
000000019de46d80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitTypeNameToInfo
000000019de46da0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitTypeToInfo
000000019de46dc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitWithID:unitsInfo:exponent:
000000019de46de0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$units
000000019de46e00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitsInfo
000000019de46e20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitsInfoWithDictionary:
000000019de46e40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unlock
000000019de46e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$update
000000019de46e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$updateCurrencyCacheWithData:
000000019de46ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$usesGroupingSeparator
000000019de46ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$usesSignificantDigits
000000019de46ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$usesWhitespace
000000019de46f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$uuid
000000019de46f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
000000019de46f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$whitespaceCharacterSet
000000019de46f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$wordBreakIndices
000000019de46f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$wordBreakIndicesIndex
000000019de46fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$writeCharacter:
000000019de46fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$writeNode:
000000019de46fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$zero
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
00000001d96953c8 (__DATA,__bss) non-external _openParenthesesSet
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
00000001d9695418 (__DATA,__bss) non-external _outputUnitIndex
                 (undefined) external _pow (from libSystem)
                 (undefined) external _raise (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _remainder (from libSystem)
00000001d9694c78 (__DATA,__data) non-external _sCalculateLock
00000001d96952d0 (__DATA,__bss) non-external _serialQueue.onceToken
00000001d96952d8 (__DATA,__bss) non-external _serialQueue.queue
00000001d9694c28 (__DATA,__data) non-external _shared.onceToken
00000001d9694c20 (__DATA,__data) non-external _shared.shared
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinh (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _strtold (from libSystem)
                 (undefined) external _strtoull (from libSystem)
00000001d96953b0 (__DATA,__bss) non-external _subtractSet
00000001d96953e8 (__DATA,__bss) non-external _symbolSet
                 (undefined) external _tan (from libSystem)
                 (undefined) external _tanh (from libSystem)
                 (undefined) external _tgamma (from libSystem)
00000001d9695318 (__DATA,__bss) non-external _tmp_unitSuggestions
00000001d9695320 (__DATA,__bss) non-external _tmp_unitSuggestionsSet
00000001d9695328 (__DATA,__bss) non-external _tmp_unitsInfo
000000019dcb062c (__TEXT,__text) non-external _treeDecimalValue
000000019dcb4538 (__TEXT,__text) non-external _trivialCoefficient
                 (undefined) external _u_austrcpy (from libicucore)
                 (undefined) external _u_charDigitValue (from libicucore)
                 (undefined) external _u_isdigit (from libicucore)
                 (undefined) external _u_uastrncpy (from libicucore)
00000001d9694c80 (__DATA,__data) non-external _unitsInfo
                 (undefined) external _unum_close (from libicucore)
                 (undefined) external _unum_formatDoubleCurrency (from libicucore)
                 (undefined) external _unum_open (from libicucore)
00000001d9695268 (__DATA,__bss) non-external _usesWhitespace.nonWhitespaceLanguages
00000001d9695270 (__DATA,__bss) non-external _usesWhitespace.onceToken
00000001d9695398 (__DATA,__bss) non-external _whitespaceSet
                 (undefined) external _y0 (from libSystem)
                 (undefined) external _y1 (from libSystem)
000000019dd033ca (__TEXT,__const) non-external _yy_accept
000000019dd03ade (__TEXT,__const) non-external _yy_base
00000001d9694c40 (__DATA,__data) non-external _yy_buffer_stack
00000001d9694c70 (__DATA,__data) non-external _yy_buffer_stack_max
00000001d9694c48 (__DATA,__data) non-external _yy_c_buf_p
000000019dd03652 (__TEXT,__const) non-external _yy_chk
000000019dd03d72 (__TEXT,__const) non-external _yy_def
000000019dd032c9 (__TEXT,__const) non-external _yy_ec
000000019dcdebb4 (__TEXT,__text) non-external _yy_fatal_error
000000019dcdead8 (__TEXT,__text) non-external _yy_get_previous_state
00000001d9694c50 (__DATA,__data) non-external _yy_hold_char
00000001d9694c38 (__DATA,__data) non-external _yy_init
00000001d9694c58 (__DATA,__data) non-external _yy_last_accepting_cpos
00000001d9694c54 (__DATA,__data) non-external _yy_last_accepting_state
000000019dd04006 (__TEXT,__const) non-external _yy_meta
00000001d9694c68 (__DATA,__data) non-external _yy_n_chars
000000019dd04054 (__TEXT,__const) non-external _yy_nxt
000000019dd044e0 (__TEXT,__const) non-external _yy_rule_can_match_eol
00000001d9694c3c (__DATA,__data) non-external _yy_start
00000001d9694bac (__DATA,__data) non-external _yychar
000000019dd02142 (__TEXT,__const) non-external _yycheck
000000019dd02eee (__TEXT,__const) non-external _yydefact
000000019dd03158 (__TEXT,__const) non-external _yydefgoto
00000001d9694d78 (__DATA,__bss) non-external _yylval
00000001d9694bb8 (__DATA,__data) non-external _yynerrs
000000019dd01d8c (__TEXT,__const) non-external _yypact
000000019dd03120 (__TEXT,__const) non-external _yypgoto
000000019dd030a3 (__TEXT,__const) non-external _yyr1
000000019dd03027 (__TEXT,__const) non-external _yyr2
000000019dd03190 (__TEXT,__const) non-external _yystos
000000019dd02818 (__TEXT,__const) non-external _yytable
000000019dd01ffe (__TEXT,__const) non-external _yytranslate
