000000019dd4155c (__TEXT,__text) non-external +[Calculate _lock]
000000019deb5ba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeout
000000019deb5bc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tokenType
000000019deb5be0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tokenWithType:range:text:ranks:
000000019deb5c00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tokenizerWithUnits:
000000019deb5c20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$trie
000000019deb5c40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$typeInfo
000000019deb5c60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitExponent
000000019deb5c80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitFormat
000000019deb5ca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitID
000000019deb5cc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitIDToInfo
000000019deb5ce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitInfo
000000019deb5d00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitNameToInfo
000000019deb5d20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitNames
000000019deb5d40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitRanksWithUnitsInfo:
000000019deb5d60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitType
000000019deb5d80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitTypeNameToInfo
000000019deb5da0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitTypeToInfo
000000019deb5dc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitWithID:unitsInfo:exponent:
000000019deb5de0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$units
000000019deb5e00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitsInfo
000000019deb5e20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unitsInfoWithDictionary:
000000019deb5e40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unlock
000000019deb5e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$update
000000019deb5e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$updateCurrencyCacheWithData:
000000019deb5ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$usesGroupingSeparator
000000019deb5ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$usesSignificantDigits
000000019deb5ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$usesWhitespace
000000019deb5f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$uuid
000000019deb5f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
000000019deb5f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$whitespaceCharacterSet
000000019deb5f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$wordBreakIndices
000000019deb5f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$wordBreakIndicesIndex
000000019deb5fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$writeCharacter:
000000019deb5fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$writeNode:
000000019deb5fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$zero
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
00000001d9215498 (__DATA,__bss) non-external _openParenthesesSet
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
00000001d92154e8 (__DATA,__bss) non-external _outputUnitIndex
                 (undefined) external _pow (from libSystem)
                 (undefined) external _raise (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _remainder (from libSystem)
00000001d9214d48 (__DATA,__data) non-external _sCalculateLock
00000001d92153a0 (__DATA,__bss) non-external _serialQueue.onceToken
00000001d92153a8 (__DATA,__bss) non-external _serialQueue.queue
00000001d9214cf8 (__DATA,__data) non-external _shared.onceToken
00000001d9214cf0 (__DATA,__data) non-external _shared.shared
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinh (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _strtold (from libSystem)
                 (undefined) external _strtoull (from libSystem)
00000001d9215480 (__DATA,__bss) non-external _subtractSet
00000001d92154b8 (__DATA,__bss) non-external _symbolSet
                 (undefined) external _tan (from libSystem)
                 (undefined) external _tanh (from libSystem)
                 (undefined) external _tgamma (from libSystem)
00000001d92153e8 (__DATA,__bss) non-external _tmp_unitSuggestions
00000001d92153f0 (__DATA,__bss) non-external _tmp_unitSuggestionsSet
00000001d92153f8 (__DATA,__bss) non-external _tmp_unitsInfo
000000019dd1f4d0 (__TEXT,__text) non-external _treeDecimalValue
000000019dd233dc (__TEXT,__text) non-external _trivialCoefficient
                 (undefined) external _u_austrcpy (from libicucore)
                 (undefined) external _u_charDigitValue (from libicucore)
                 (undefined) external _u_isdigit (from libicucore)
                 (undefined) external _u_uastrncpy (from libicucore)
00000001d9214d50 (__DATA,__data) non-external _unitsInfo
                 (undefined) external _unum_close (from libicucore)
                 (undefined) external _unum_formatDoubleCurrency (from libicucore)
                 (undefined) external _unum_open (from libicucore)
00000001d9215338 (__DATA,__bss) non-external _usesWhitespace.nonWhitespaceLanguages
00000001d9215340 (__DATA,__bss) non-external _usesWhitespace.onceToken
00000001d9215468 (__DATA,__bss) non-external _whitespaceSet
                 (undefined) external _y0 (from libSystem)
                 (undefined) external _y1 (from libSystem)
000000019dd7238a (__TEXT,__const) non-external _yy_accept
000000019dd72a9e (__TEXT,__const) non-external _yy_base
00000001d9214d10 (__DATA,__data) non-external _yy_buffer_stack
00000001d9214d40 (__DATA,__data) non-external _yy_buffer_stack_max
00000001d9214d18 (__DATA,__data) non-external _yy_c_buf_p
000000019dd72612 (__TEXT,__const) non-external _yy_chk
000000019dd72d32 (__TEXT,__const) non-external _yy_def
000000019dd72289 (__TEXT,__const) non-external _yy_ec
000000019dd4db64 (__TEXT,__text) non-external _yy_fatal_error
000000019dd4da88 (__TEXT,__text) non-external _yy_get_previous_state
00000001d9214d20 (__DATA,__data) non-external _yy_hold_char
00000001d9214d08 (__DATA,__data) non-external _yy_init
00000001d9214d28 (__DATA,__data) non-external _yy_last_accepting_cpos
00000001d9214d24 (__DATA,__data) non-external _yy_last_accepting_state
000000019dd72fc6 (__TEXT,__const) non-external _yy_meta
00000001d9214d38 (__DATA,__data) non-external _yy_n_chars
000000019dd73014 (__TEXT,__const) non-external _yy_nxt
000000019dd734a0 (__TEXT,__const) non-external _yy_rule_can_match_eol
00000001d9214d0c (__DATA,__data) non-external _yy_start
00000001d9214c7c (__DATA,__data) non-external _yychar
000000019dd71102 (__TEXT,__const) non-external _yycheck
000000019dd71eae (__TEXT,__const) non-external _yydefact
000000019dd72118 (__TEXT,__const) non-external _yydefgoto
00000001d9214e48 (__DATA,__bss) non-external _yylval
00000001d9214c88 (__DATA,__data) non-external _yynerrs
000000019dd70d4c (__TEXT,__const) non-external _yypact
000000019dd720e0 (__TEXT,__const) non-external _yypgoto
000000019dd72063 (__TEXT,__const) non-external _yyr1
000000019dd71fe7 (__TEXT,__const) non-external _yyr2
000000019dd72150 (__TEXT,__const) non-external _yystos
000000019dd717d8 (__TEXT,__const) non-external _yytable
000000019dd70fbe (__TEXT,__const) non-external _yytranslate
