00000001d35f95b4 (__TEXT,__text) non-external +[Cube initialize]
00000001e91f433c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mEffectID
00000001e91f4380 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mHasRequestedMoreSlides
00000001e91f4390 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mIndexOfFirstMultiImageInput
00000001e91f4360 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mMultiImageModelInput
00000001e91f437c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mMultiImageSlideRange
00000001e91f4348 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateEffect
00000001e91f434c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateEffectAttributes
00000001e91f4384 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateEffectLiveAttributes
00000001e91f4354 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateSlides
00000001e91f4350 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateTexts
00000001e91f4370 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateTiming
00000001e91f4364 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mSlideProviders
00000001e91f4340 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mSlideProvidersForElementIDs
00000001e91f438c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mSlideShowTimeScripts
00000001e91f4358 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mSlidesAreReadonly
00000001e91f436c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mTargetedElement
00000001e91f4344 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mTextsForElementIDs
00000001e91f445c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator._currentSlideshowTime
00000001e91f4424 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator._currentSublayerTheoreticalTimeIn
00000001e91f4414 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator._needsToRecomputeCurrentSublayerTheoreticalTimeIn
00000001e91f448c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator._pauseWhenTransitionEnds
00000001e91f4454 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator._previouslyRenderedTransitionProgress
00000001e91f43c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mContainer
00000001e91f4434 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mControlsSublayerTimes
00000001e91f43d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayer
00000001e91f4490 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayerAnimationDuration
00000001e91f43e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayerContainerTimeOnTransitionStart
00000001e91f443c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayerInterestingTime
00000001e91f4458 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayerLazyDuration
00000001e91f4440 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayerLazyFactor
00000001e91f43dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentTransition
00000001e91f441c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mElementToDraw
00000001e91f43f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mExtraSublayer
00000001e91f449c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mFastScrubbingProgress
00000001e91f4498 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mFastScrubbingStartIndex
00000001e91f43e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mForcedTransitionProgress
00000001e91f4464 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mForcedTransitionProgressOffset
00000001e91f4420 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mHasWarnedDelegateAboutNearingEnd
00000001e91f43f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mHistoryBack
00000001e91f43f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mHistoryForth
00000001e91f4474 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mHistoryIsEnabled
00000001e91f4460 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mIsFastScrubbing
00000001e91f4488 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mIsInSlideFocusMode
00000001e91f4400 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mIsInnerTransitioning
00000001e91f43c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mIsSerializerBased
00000001e91f43fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mIsTransitioning
00000001e91f4418 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNeedsToResyncToSerializer
00000001e91f4410 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNeedsToUpdatePotentialTargetSublayers
00000001e91f43d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNextSublayer
00000001e91f4494 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNextSublayerAnimationDuration
00000001e91f444c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNextSublayerInterestingTime
00000001e91f4444 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNextSublayerLazyDuration
00000001e91f4448 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNextSublayerLazyFactor
00000001e91f4484 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mPausedSublayersForTransition
00000001e91f43ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mPotentialTargetSublayers
00000001e91f4408 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mPrecomputingTarget
00000001e91f440c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mPrecomputingType
00000001e91f43e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mSublayerToPrecompute
00000001e91f43cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mSublayers
00000001e91f43d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mSublayersForPlugs
00000001e91f4428 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTotalMotionDuration
00000001e91f4404 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionChanges
00000001e91f4450 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionDuration
00000001e91f4438 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionIsBackwards
00000001e91f4470 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionIsNextPrevious
00000001e91f446c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionIsSubzero
00000001e91f442c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionStartTime
00000001e91f4468 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionStartedWithNext
00000001e91f4430 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionWasAborted
00000001e91f44c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mBackgroundColor
00000001e91f44b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mContainer
00000001e91f44c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mNeedsToUpdateBackgroundColor
00000001e91f44bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mNeedsToUpdateSublayersOrdering
00000001e91f44b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mSublayers
00000001e91f44b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mSublayersForPlugs
00000001e91f563c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMCBlockAction._block
00000001e91f451c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._bailTimeWatcher
00000001e91f44f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._context
00000001e91f44c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._correctsForAutorotation
00000001e91f44dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._document
00000001e91f44f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._enableSlideDidChangeNotification
00000001e91f44d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._faceDetector
00000001e91f44d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._faceTimer
00000001e91f4520 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._frameBufferSize
00000001e91f44f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._interactivityIsEnabled
00000001e91f4508 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._isAboutToPlay
00000001e91f44e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._isReadonly
00000001e91f44cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._lastSlideChange
00000001e91f4518 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._masterClockIsSet
00000001e91f450c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._morphingToAspectRatio
00000001e91f4510 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._nextMorphInfo
00000001e91f44fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._pixelFormat
00000001e91f44d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._renderer
00000001e91f44e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._rendererSizeIsLocked
00000001e91f44e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._sizeChangedWhileRendererSizeWasLocked
00000001e91f44ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._slidesAreReadonly
00000001e91f4500 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._stopWithVideo
00000001e91f4514 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._timestampOfLastRenderPass
00000001e91f4504 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._wasSuspended
00000001e91f4d68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayerView._marimbaLayer
00000001e91f4d70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayerView._pendingBeginTouches
00000001e91f4d6c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayerView._singleTapPositionAsValue
00000001e91f4d74 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMarimbaLayerView._touchSet
00000001e91f452c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayoutManager._marimbaLayer
00000001e91f4528 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayoutManager._marimbaView
00000001e91f4530 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayoutManager._text
00000001e91f4524 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayoutManager._textRenderer
00000001e91f4534 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaTextView._disableUpdate
00000001e91f453c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaTextView._editedText
00000001e91f4540 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaTextView._marimbaPlayer
00000001e91f4538 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaTextView._useRichText
00000001e91f4d54 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._aspectRatio
00000001e91f4d50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._exitButton
00000001e91f4d64 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._hudDelegate
00000001e91f4d5c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._hudShowCount
00000001e91f4d60 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._isEnteringExitingMarimba
00000001e91f4d58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._isInMarimba
00000001e91f4d40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._marimbaLayer
00000001e91f4d44 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._marimbaLayerView
00000001e91f4d48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._orderedVideoPaths
00000001e91f4d4c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._usesExitButton
00000001e91f3a0c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._context
00000001e91f3a14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._countOfIndices
00000001e91f3a10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._countOfVertices
00000001e91f3a20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._dynamicVBO
00000001e91f3a30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._dynamicVBOFeatures
00000001e91f3a28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._indexBuffer
00000001e91f3a1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._staticVBO
00000001e91f3a2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._staticVBOFeatures
00000001e91f3a24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._streamVBO
00000001e91f3a34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._streamVBOFeatures
00000001e91f3a38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._type
00000001e91f3a18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._vao
00000001e91f55f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._duration
00000001e91f55f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._easeIn
00000001e91f55f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._easeOut
00000001e91f55e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._key
00000001e91f55ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._startTime
00000001e91f55e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._startValue
00000001e91f55e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._value
00000001e91f4554 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MROrigamiAnimationPath._curves
00000001e91f4558 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MROrigamiAnimationPath._keyTimes
00000001e91f4560 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MROrigamiAnimationPath._length
00000001e91f4564 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MROrigamiAnimationPath._timeFirstAtRestValue
00000001e91f455c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MROrigamiAnimationPath._values
00000001e91f5508 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPanZoomRotationGestureRecognizer._direction
00000001e91f5514 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPanZoomRotationGestureRecognizer._factor
00000001e91f550c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPanZoomRotationGestureRecognizer._isMaster
00000001e91f5510 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPanZoomRotationGestureRecognizer._type
00000001e91f45b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationContext
00000001e91f45b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathOpacity
00000001e91f4588 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathParam1
00000001e91f458c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathParam2
00000001e91f45a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathRX
00000001e91f45a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathRY
00000001e91f45ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathRZ
00000001e91f45a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathScale
00000001e91f4594 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathX
00000001e91f4590 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathXY
00000001e91f4598 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathY
00000001e91f459c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathZ
00000001e91f45bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mCurrentLayoutIndex
00000001e91f45c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mNeedsUpdate
00000001e91f45c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mPlug
00000001e91f45b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mPlugWasSetSinceLastRendering
00000001e91f4550 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPatchwork._patches
00000001e91f4544 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRPatchworkPatch._image
00000001e91f454c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPatchworkPatch.needsBlend
00000001e91f4548 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPatchworkPatch.rectangle
00000001e91f509c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameImage.inner
00000001e91f5098 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameImage.outer
00000001e91f50a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameImage.size
