000000021a99ce50 (__DATA,__data) non-external _.compoundliteral
00000001e511d59c (__TEXT,__text) non-external _glpMatchInputSize
00000001e511dd88 (__TEXT,__text) non-external _glpMatchInputSize3
00000001e51359e8 (__TEXT,__text) non-external (was a private external) _glpMergeInterfaceBlocks
00000001e51051d0 (__TEXT,__text) non-external (was a private external) _glpMergeRemapValue
00000001e513581c (__TEXT,__text) non-external (was a private external) _glpMergeUniforms
00000001e5127f2c (__TEXT,__text) non-external _glpMetalGetArgTypeNameFromASTType
00000001e515de20 (__TEXT,__text) non-external (was a private external) _glpMethodCallNodeGetName
00000001e515de2c (__TEXT,__text) non-external (was a private external) _glpMethodCallNodeGetReceiver
00000001e515de3c (__TEXT,__text) non-external (was a private external) _glpMethodCallNodeSetReceiver
00000001e51842a4 (__TEXT,__text) non-external _glpMutableValueFromVec
00000001e513dea4 (__TEXT,__text) non-external (was a private external) _glpNameTableGet
00000001e513ea68 (__TEXT,__text) non-external (was a private external) _glpNameTableGetCurrentFunction
00000001e513de60 (__TEXT,__text) non-external (was a private external) _glpNameTableGetGLSLVersion
00000001e513ddf0 (__TEXT,__text) non-external (was a private external) _glpNameTableGetLanguage
00000001e513ea70 (__TEXT,__text) non-external (was a private external) _glpNameTableGetPrecision
00000001e513de90 (__TEXT,__text) non-external (was a private external) _glpNameTableIsExtensionEnabled
00000001e513e9fc (__TEXT,__text) non-external (was a private external) _glpNameTablePop
00000001e513e8d8 (__TEXT,__text) non-external (was a private external) _glpNameTablePush
00000001e513e9a4 (__TEXT,__text) non-external (was a private external) _glpNameTablePushForFunction
00000001e513e7b0 (__TEXT,__text) non-external (was a private external) _glpNameTablePut
00000001e513ddf8 (__TEXT,__text) non-external (was a private external) _glpNameTablePutPrecision
00000001e513de68 (__TEXT,__text) non-external (was a private external) _glpNameTableSetGLSLExtensionBehavior
00000001e513dbe4 (__TEXT,__text) non-external (was a private external) _glpNameTableSetGLSLVersion
00000001e513e9f0 (__TEXT,__text) non-external (was a private external) _glpNameTableSetStatementIndex
00000001e513ea5c (__TEXT,__text) non-external (was a private external) _glpNameTableSetTopLevelBlock
00000001e515e84c (__TEXT,__text) non-external (was a private external) _glpNotEqualNodeGetIsFromSource
00000001e51613d4 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetBankIndex
00000001e51613c4 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetCompStride
00000001e5161394 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetExtra
00000001e51613ec (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetOffsetExpr
00000001e51613b4 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetPreSwizzlePrimitiveType
00000001e51613a4 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetSwizzle
00000001e5161404 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetVectorElementExpr
00000001e51613e0 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetBankIndex
00000001e51613cc (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetCompStride
00000001e516139c (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetExtra
00000001e51613f8 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetOffsetExpr
00000001e51613bc (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetPreSwizzlePrimitiveType
00000001e51613ac (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetSwizzle
00000001e5161410 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetVectorElementExpr
00000001e515ed0c (__TEXT,__text) non-external (was a private external) _glpOpAssignNodeGetDesugar
00000001e5104200 (__TEXT,__text) non-external (was a private external) _glpOpenArchive
00000001e51477a4 (__TEXT,__text) non-external (was a private external) _glpOperatorAsFunctionError
00000001e51a64d8 (__TEXT,__text) external _glpPPDisassemble
00000001e51db58c (__TEXT,__const) non-external _glpPPDisassemble.shaderTargets
00000002176b3aa0 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_filters
00000002176b3b10 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_formats
00000002176b3bf0 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_types
00000002176b3ad0 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_wraps
00000001e51a949c (__TEXT,__text) external _glpPPDisassembleFree
00000001e51b5168 (__TEXT,__text) external _glpPPShaderLinearize
00000001e51b5170 (__TEXT,__text) external _glpPPShaderLinearizeEx
00000001e51b3bf0 (__TEXT,__text) external _glpPPShaderLinearizeStreamMgr
00000001e51b3bf8 (__TEXT,__text) external _glpPPShaderLinearizeStreamMgrEx
00000001e5161740 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetHasOffset
00000001e5161738 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetHasSrctex
00000001e5161730 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetOpPrimitiveType
00000001e5161728 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetOpcode
00000001e5161720 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetReturnPrimitiveType
00000001e5099df8 (__TEXT,__text) external _glpPPStreamTokenDump
00000001e5099e00 (__TEXT,__text) external _glpPPStreamTokenDumpFree
00000001e5185df4 (__TEXT,__text) non-external _glpPPTFunctionDefinition
00000001e5185a3c (__TEXT,__text) non-external (was a private external) _glpPPTNode
00000001e5186018 (__TEXT,__text) non-external _glpPPTRawCall
00000001e5185f20 (__TEXT,__text) non-external _glpPPTSwitchStatement
00000001e5185c88 (__TEXT,__text) non-external _glpPPTVariableDeclaration
00000001e5195498 (__TEXT,__text) non-external (was a private external) _glpPaIdentOrType
00000001e51955c4 (__TEXT,__text) non-external (was a private external) _glpPaParseComment
00000001e5195dec (__TEXT,__text) non-external (was a private external) _glpPaParseStrings
00000001e51953c4 (__TEXT,__text) non-external (was a private external) _glpPaReservedWord
00000001e512b73c (__TEXT,__text) non-external (was a private external) _glpPackConstants
00000001e515f024 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetExtra
00000001e515f018 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetName
00000001e515f034 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetType
00000001e515f02c (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeSetExtra
00000001e515f040 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeSetType
00000001e51969ec (__TEXT,__text) non-external (was a private external) _glpParseContextSetGLSLVersion
00000001e5196b18 (__TEXT,__text) non-external (was a private external) _glpParseContextValidateGLSLVersion
00000001e5143b34 (__TEXT,__text) non-external (was a private external) _glpParseQualifiers
00000001e512dfb4 (__TEXT,__text) non-external (was a private external) _glpParseRecover
00000001e5102744 (__TEXT,__text) non-external (was a private external) _glpPointerHashCache_b
00000001e51026e0 (__TEXT,__text) non-external (was a private external) _glpPointerHashGet
00000001e5102524 (__TEXT,__text) non-external (was a private external) _glpPointerHashPut
00000001e51027a8 (__TEXT,__text) non-external (was a private external) _glpPointerHashRemove
00000001e512d030 (__TEXT,__text) non-external (was a private external) _glpPopulatePrecisionWidths
00000001e515f638 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetQualifier
00000001e515f650 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetType
00000001e515f644 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetQualifier
00000001e515f65c (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetType
00000001e512c588 (__TEXT,__text) non-external (was a private external) _glpPrecisionIndexFromSAFlags
00000001e51462d4 (__TEXT,__text) non-external (was a private external) _glpPrecisionQualifierFromSaFlags
00000001e51409e4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumnType
00000001e51406bc (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumns
00000001e5140d3c (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetElementType
00000001e5140b90 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRowType
00000001e5140850 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRows
00000001e51410d4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPDatatype
00000001e5140ec8 (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPTextarget
00000001e5151178 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeFromString
00000001e51415e4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetByteStride
00000001e51414ac (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetBytesPerComponent
00000001e5140350 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetCategory
00000001e5140324 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetGLType
00000001e5141500 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetMaxComponentsPerVec4
00000001e514155c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetNumVec4s
00000001e51511a4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetPrimitiveType
00000001e514140c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarCount
00000001e5141268 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarType
00000001e515facc (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeNodeGetType
00000001e5141310 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeReplaceScalarType
00000001e51182dc (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType
00000001e51d0224 (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType.cold.1
00000001e514026c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeToString
00000001e5140518 (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetElementType
00000001e514037c (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetLength
00000001e5126610 (__TEXT,__text) non-external _glpProcessComponentWiseVectorAssignment
00000001e508dd88 (__TEXT,__text) non-external _glpProgram_PPStreamAddAddressUsage
00000001e508dda0 (__TEXT,__text) non-external _glpProgram_PPStreamAddAttribBinding
00000001e508de64 (__TEXT,__text) non-external _glpProgram_PPStreamAddConstant
00000001e508de6c (__TEXT,__text) non-external _glpProgram_PPStreamAddLabel
00000001e508dd2c (__TEXT,__text) non-external _glpProgram_PPStreamAddOperation
00000001e508de5c (__TEXT,__text) non-external _glpProgram_PPStreamAddOption
00000001e508de08 (__TEXT,__text) non-external _glpProgram_PPStreamAddOutputBinding
00000001e508dd90 (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBinding
00000001e508dd98 (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBindingArray
00000001e508dd80 (__TEXT,__text) non-external _glpProgram_PPStreamAddTempUsage
00000001e508dec0 (__TEXT,__text) non-external _glpProgram_PPStreamResolveBranches
00000001e508dd20 (__TEXT,__text) non-external _glpProgram_PPStreamSetTarget
00000001e514b5f4 (__TEXT,__text) non-external (was a private external) _glpPushdownPrecision
00000001e515f7b0 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeAddDeclaration
00000001e515f798 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclaration
00000001e515f790 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclarationCount
00000001e515f7b8 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeInsertDeclaration
00000001e515f7a4 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeSetDeclaration
00000001e515f6fc (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetName
00000001e515f708 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetQualifiers
00000001e515f714 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeSetQualifiers
00000001e515fa34 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetQualifiers
00000001e515fa1c (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetType
00000001e515fa40 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeSetQualifiers
00000001e515fa28 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeSetType
00000001e5143ac8 (__TEXT,__text) non-external (was a private external) _glpQualifierKindOfNode
00000001e5143a9c (__TEXT,__text) non-external (was a private external) _glpQualifierKindToString
00000001e5160464 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeAddQualifier
00000001e516044c (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeGetQualifier
00000001e5160444 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeGetQualifierCount
00000001e516046c (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeInsertQualifier
00000001e5160458 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeSetQualifier
00000001e5141600 (__TEXT,__text) non-external (was a private external) _glpQualifierName
00000001e51615ac (__TEXT,__text) non-external (was a private external) _glpRValueNodeGetBase
00000001e51615b8 (__TEXT,__text) non-external (was a private external) _glpRValueNodeSetBase
00000001e5161214 (__TEXT,__text) non-external (was a private external) _glpRawCallNodeGetExtra
00000001e5161208 (__TEXT,__text) non-external (was a private external) _glpRawCallNodeGetName
00000001e516121c (__TEXT,__text) non-external (was a private external) _glpRawCallNodeSetExtra
00000001e514c23c (__TEXT,__text) non-external (was a private external) _glpReInitDeserialContext
00000001e515ed14 (__TEXT,__text) non-external (was a private external) _glpReadInputNodeGetExtra
00000001e5156f3c (__TEXT,__text) non-external (was a private external) _glpRemapValue
00000001e51966a8 (__TEXT,__text) non-external (was a private external) _glpResetErrMsg
00000001e5160f64 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeGetExpr
00000001e5160f54 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeGetExtra
