00000002942a1c90 (__DATA,__data) non-external _.compoundliteral
0000000225bbfafc (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetCompStride
0000000225bbfacc (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetExtra
0000000225bbfb28 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetOffsetExpr
0000000225bbfaec (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetPreSwizzlePrimitiveType
0000000225bbfadc (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetSwizzle
0000000225bbfb40 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetVectorElementExpr
0000000225bbd52c (__TEXT,__text) non-external (was a private external) _glpOpAssignNodeGetDesugar
0000000225b62bd4 (__TEXT,__text) non-external (was a private external) _glpOpenArchive
0000000225ba662c (__TEXT,__text) non-external (was a private external) _glpOperatorAsFunctionError
0000000225bff050 (__TEXT,__text) external _glpPPDisassemble
0000000225c30e10 (__TEXT,__const) non-external _glpPPDisassemble.shaderTargets
000000028f7f0508 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_filters
000000028f7f0578 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_formats
000000028f7f0658 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_types
000000028f7f0538 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_wraps
0000000225c01c60 (__TEXT,__text) external _glpPPDisassembleFree
0000000225c0d0e4 (__TEXT,__text) external _glpPPShaderLinearize
0000000225c0d0ec (__TEXT,__text) external _glpPPShaderLinearizeEx
0000000225c0bee4 (__TEXT,__text) external _glpPPShaderLinearizeStreamMgr
0000000225c0beec (__TEXT,__text) external _glpPPShaderLinearizeStreamMgrEx
0000000225bbfe7c (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetHasOffset
0000000225bbfe74 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetHasSrctex
0000000225bbfe6c (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetOpPrimitiveType
0000000225bbfe64 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetOpcode
0000000225bbfe5c (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetReturnPrimitiveType
0000000225aff5f4 (__TEXT,__text) external _glpPPStreamTokenDump
0000000225aff5fc (__TEXT,__text) external _glpPPStreamTokenDumpFree
0000000225be0880 (__TEXT,__text) non-external _glpPPTFunctionDefinition
0000000225be0614 (__TEXT,__text) non-external (was a private external) _glpPPTNode
0000000225be0aa4 (__TEXT,__text) non-external _glpPPTRawCall
0000000225be09ac (__TEXT,__text) non-external _glpPPTSwitchStatement
0000000225be0708 (__TEXT,__text) non-external _glpPPTVariableDeclaration
0000000225bef484 (__TEXT,__text) non-external (was a private external) _glpPaIdentOrType
0000000225bef5bc (__TEXT,__text) non-external (was a private external) _glpPaParseComment
0000000225befdc4 (__TEXT,__text) non-external (was a private external) _glpPaParseStrings
0000000225bef3b0 (__TEXT,__text) non-external (was a private external) _glpPaReservedWord
0000000225b8b560 (__TEXT,__text) non-external (was a private external) _glpPackConstants
0000000225bbd838 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetExtra
0000000225bbd82c (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetName
0000000225bbd848 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetType
0000000225bbd840 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeSetExtra
0000000225bbd854 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeSetType
0000000225bf0a04 (__TEXT,__text) non-external (was a private external) _glpParseContextSetGLSLVersion
0000000225bf0b30 (__TEXT,__text) non-external (was a private external) _glpParseContextValidateGLSLVersion
0000000225ba2ac8 (__TEXT,__text) non-external (was a private external) _glpParseQualifiers
0000000225b8dc88 (__TEXT,__text) non-external (was a private external) _glpParseRecover
0000000225b611f4 (__TEXT,__text) non-external (was a private external) _glpPointerHashCache_b
0000000225b61190 (__TEXT,__text) non-external (was a private external) _glpPointerHashGet
0000000225b60fd8 (__TEXT,__text) non-external (was a private external) _glpPointerHashPut
0000000225b61258 (__TEXT,__text) non-external (was a private external) _glpPointerHashRemove
0000000225b8ce94 (__TEXT,__text) non-external (was a private external) _glpPopulatePrecisionWidths
0000000225bbde34 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetQualifier
0000000225bbde4c (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetType
0000000225bbde40 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetQualifier
0000000225bbde58 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetType
0000000225b8c368 (__TEXT,__text) non-external (was a private external) _glpPrecisionIndexFromSAFlags
0000000225ba5160 (__TEXT,__text) non-external (was a private external) _glpPrecisionQualifierFromSaFlags
0000000225ba0094 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumnType
0000000225b9ffe4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumns
0000000225ba0174 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetElementType
0000000225ba0104 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRowType
0000000225ba003c (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRows
0000000225ba0294 (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPDatatype
0000000225ba01c4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPTextarget
0000000225b8bb8c (__TEXT,__text) non-external _glpPrimitiveTypeFromScalarType
0000000225bafc40 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeFromString
0000000225ba060c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetByteStride
0000000225ba04c4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetBytesPerComponent
0000000225b9fefc (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetCategory
0000000225b9fed4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetGLType
0000000225ba0518 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetMaxComponentsPerVec4
0000000225ba057c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetNumVec4s
0000000225bafc6c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetPrimitiveType
0000000225ba0444 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarCount
0000000225ba02ec (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarType
0000000225bbe2bc (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeNodeGetType
0000000225ba0374 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeReplaceScalarType
0000000225b77f98 (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType
0000000225c259cc (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType.cold.1
0000000225b9fe18 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeToString
0000000225b9ff7c (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetElementType
0000000225b9ff24 (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetLength
0000000225b860bc (__TEXT,__text) non-external _glpProcessComponentWiseVectorAssignment
0000000225af3478 (__TEXT,__text) non-external _glpProgram_PPStreamAddAddressUsage
0000000225af3490 (__TEXT,__text) non-external _glpProgram_PPStreamAddAttribBinding
0000000225af3554 (__TEXT,__text) non-external _glpProgram_PPStreamAddConstant
0000000225af355c (__TEXT,__text) non-external _glpProgram_PPStreamAddLabel
0000000225af3424 (__TEXT,__text) non-external _glpProgram_PPStreamAddOperation
0000000225af354c (__TEXT,__text) non-external _glpProgram_PPStreamAddOption
0000000225af34f8 (__TEXT,__text) non-external _glpProgram_PPStreamAddOutputBinding
0000000225af3480 (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBinding
0000000225af3488 (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBindingArray
0000000225af3470 (__TEXT,__text) non-external _glpProgram_PPStreamAddTempUsage
0000000225af35b0 (__TEXT,__text) non-external _glpProgram_PPStreamResolveBranches
0000000225af3418 (__TEXT,__text) non-external _glpProgram_PPStreamSetTarget
0000000225baa16c (__TEXT,__text) non-external (was a private external) _glpPushdownPrecision
0000000225bbdfac (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeAddDeclaration
0000000225bbdf94 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclaration
0000000225bbdf8c (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclarationCount
0000000225bbdfb4 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeInsertDeclaration
0000000225bbdfa0 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeSetDeclaration
0000000225bbdef8 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetName
0000000225bbdf04 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetQualifiers
0000000225bbdf10 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeSetQualifiers
0000000225bbe224 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetQualifiers
0000000225bbe20c (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetType
0000000225bbe230 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeSetQualifiers
0000000225bbe218 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeSetType
0000000225ba2a5c (__TEXT,__text) non-external (was a private external) _glpQualifierKindOfNode
0000000225ba2a34 (__TEXT,__text) non-external (was a private external) _glpQualifierKindToString
0000000225bbec10 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeAddQualifier
0000000225bbebf8 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeGetQualifier
0000000225bbebf0 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeGetQualifierCount
0000000225bbec18 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeInsertQualifier
0000000225bbec04 (__TEXT,__text) non-external (was a private external) _glpQualifierListNodeSetQualifier
0000000225ba0628 (__TEXT,__text) non-external (was a private external) _glpQualifierName
0000000225bbfcf0 (__TEXT,__text) non-external (was a private external) _glpRValueNodeGetBase
0000000225bbfcfc (__TEXT,__text) non-external (was a private external) _glpRValueNodeSetBase
0000000225bbf93c (__TEXT,__text) non-external (was a private external) _glpRawCallNodeGetExtra
0000000225bbf930 (__TEXT,__text) non-external (was a private external) _glpRawCallNodeGetName
0000000225bbf944 (__TEXT,__text) non-external (was a private external) _glpRawCallNodeSetExtra
0000000225baacd8 (__TEXT,__text) non-external (was a private external) _glpReInitDeserialContext
0000000225bbd534 (__TEXT,__text) non-external (was a private external) _glpReadInputNodeGetExtra
0000000225bb58f4 (__TEXT,__text) non-external (was a private external) _glpRemapValue
0000000225bf06a0 (__TEXT,__text) non-external (was a private external) _glpResetErrMsg
0000000225bbf698 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeGetExpr
0000000225bbf688 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeGetExtra
0000000225bbf6a4 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeSetExpr
0000000225bbf690 (__TEXT,__text) non-external (was a private external) _glpReturnStatementNodeSetExtra
0000000225be3298 (__TEXT,__text) non-external _glpSAAdd
0000000225be1a44 (__TEXT,__text) non-external _glpSAArrayAccess
0000000225be84b8 (__TEXT,__text) non-external _glpSAArrayType
0000000225be455c (__TEXT,__text) non-external _glpSAAssign
0000000225c25a78 (__TEXT,__text) non-external _glpSAAvailabilityDeclaration
0000000225bec150 (__TEXT,__text) non-external _glpSABinaryOperator
0000000225be3f58 (__TEXT,__text) non-external _glpSABitwiseAnd
0000000225be3108 (__TEXT,__text) non-external _glpSABitwiseNot
0000000225be3fbc (__TEXT,__text) non-external _glpSABitwiseOr
0000000225be4020 (__TEXT,__text) non-external _glpSABitwiseXor
0000000225bea8d0 (__TEXT,__text) non-external _glpSABlock
0000000225beb408 (__TEXT,__text) non-external _glpSABreakStatement
0000000225ba96bc (__TEXT,__text) non-external (was a private external) _glpSABuiltinPPStreamOp
0000000225bebe0c (__TEXT,__text) non-external _glpSACall
0000000225beb2a0 (__TEXT,__text) non-external _glpSACaseStatement
0000000225be5004 (__TEXT,__text) non-external _glpSACommaExpr
0000000225be1a04 (__TEXT,__text) non-external _glpSAConstant
0000000225be2db4 (__TEXT,__text) non-external _glpSAConstructorCall
0000000225beb4ac (__TEXT,__text) non-external _glpSAContinueStatement
0000000225beb378 (__TEXT,__text) non-external _glpSADefaultStatement
0000000225bec750 (__TEXT,__text) non-external _glpSADeref
0000000225beb548 (__TEXT,__text) non-external _glpSADiscardStatement
0000000225be31d0 (__TEXT,__text) non-external _glpSADivide
0000000225be3698 (__TEXT,__text) non-external _glpSAEqual
0000000225bea758 (__TEXT,__text) non-external _glpSAExpressionStatement
0000000225ba41b8 (__TEXT,__text) non-external (was a private external) _glpSAFailed
0000000225be1d3c (__TEXT,__text) non-external _glpSAFieldAccess
0000000225ba45a0 (__TEXT,__text) non-external (was a private external) _glpSAFieldAccessInternal
0000000225be8690 (__TEXT,__text) non-external _glpSAFieldDeclaration
0000000225be2310 (__TEXT,__text) non-external _glpSAFunctionCall
0000000225be7cc0 (__TEXT,__text) non-external _glpSAFunctionDefinition
0000000225be5484 (__TEXT,__text) non-external _glpSAFunctionPrototype
0000000225bea548 (__TEXT,__text) non-external _glpSAGlobalTypeQualifier
0000000225be3560 (__TEXT,__text) non-external _glpSAGreater
0000000225be35fc (__TEXT,__text) non-external _glpSAGreaterEqual
0000000225bebc1c (__TEXT,__text) non-external _glpSAIBPartialDeref
0000000225be4084 (__TEXT,__text) non-external _glpSAIfExpr
0000000225beaac0 (__TEXT,__text) non-external _glpSAIfStatement
0000000225bebff0 (__TEXT,__text) non-external _glpSAIncrementOperator
0000000225ba9cf0 (__TEXT,__text) non-external (was a private external) _glpSAInlinePPStreamOpFixup
0000000225be8d0c (__TEXT,__text) non-external _glpSAInterfaceBlock
0000000225c25a68 (__TEXT,__text) non-external _glpSAKeywordQualifier
0000000225bebb7c (__TEXT,__text) non-external _glpSALValue
