00000001db33d14c (__TEXT,__text) non-external +[Cube initialize]
00000001ec6cc1a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mHitIsActive
00000001ec6cc198 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mInnerRect
00000001ec6cc1b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mMeshType
00000001ec6cc1bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mMiddleOffset
00000001ec6cc1a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mNeedsInSpriteCoordinates
00000001ec6cc1c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mNumberOfVertices
00000001ec6cc1c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mOuterOffset
00000001ec6cc19c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mOuterRect
00000001ec6cc18c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mPosition
00000001ec6cc1c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mPositionWasUpdated
00000001ec6cc1a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mPreservesImageAspectRatio
00000001ec6cc1cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mRectsWereUpdated
00000001ec6cc194 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mRotation
00000001ec6cc1ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mSpriteCoordinatesFactor
00000001ec6cc1b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mSpriteCoordinatesOffset
00000001ec6cc1b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mVBO
00000001ec6cc234 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffect._isInInteractiveMode
00000001ec6cc230 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffect._panoramaPanningAmount
00000001ec6cc22c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffect._panoramaPanningEndTime
00000001ec6cc228 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect._panoramaPanningOffsets
00000001ec6cc1e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mAttributes
00000001ec6cc214 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mDefaultMainDuration
00000001ec6cc210 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mDefaultPhaseInDuration
00000001ec6cc218 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mDefaultPhaseOutDuration
00000001ec6cc1d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mDescription
00000001ec6cc1dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mEffectID
00000001ec6cc1d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mEffectLayer
00000001ec6cc1e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mFlattenedAttributes
00000001ec6cc204 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mIsAlphaFriendly
00000001ec6cc1fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mIsNative3D
00000001ec6cc200 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mIsOpaque
00000001ec6cc220 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mMainDuration
00000001ec6cc1ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mMultiImageSlideRange
00000001ec6cc1f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mNeedsToUpdateAttributes
00000001ec6cc1f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mNeedsToUpdateSlides
00000001ec6cc1f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mNeedsToUpdateTexts
00000001ec6cc1d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mOutputImage
00000001ec6cc21c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mPhaseInDuration
00000001ec6cc224 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mPhaseOutDuration
00000001ec6cc20c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mPixelSize
00000001ec6cc208 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mPreloadOperation
00000001ec6cc1e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mSeed
00000001ec6cc23c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectBackgroundImage.mClampingMode
00000001ec6cc238 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectBackgroundImage.mImageProvider
00000001ec6cdbf8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mDocument
00000001ec6cdc10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mHeight
00000001ec6cdc00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mImageProviders
00000001ec6cdbfc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mIsLoaded
00000001ec6cdc08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mRootLayer
00000001ec6cdc04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mTextLayers
00000001ec6cdc0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mWidth
00000001ec6cd774 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mBaseImagePosition
00000001ec6cd77c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mBaseTextPosition
00000001ec6cd768 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mFirstDayWeekday
00000001ec6cd778 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mImageSize
00000001ec6cd76c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mNumberOfDays
00000001ec6cd770 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mStride
00000001ec6cd784 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mTextImage
00000001ec6cd78c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mTextRenderer
00000001ec6cd780 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mTextSize
00000001ec6cd788 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mTextWasUpdatedSinceLastRendering
00000001ec6cd56c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._currentComplexityLevel
00000001ec6cd584 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._grid
00000001ec6cd570 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._numberOfStoriesRemoved
00000001ec6cd588 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._previousNewSlideRange
00000001ec6cd578 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._previousScenarioType
00000001ec6cd580 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._previousStartTime
00000001ec6cd574 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._previousStartX
00000001ec6cd57c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._previousWasCombo
00000001ec6cd568 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._slideStories
00000001ec6cd564 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeEvent.duration
00000001ec6cd560 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeEvent.relativeStartTime
00000001ec6cd554 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeEvent.relativeX
00000001ec6cd558 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeEvent.relativeY
00000001ec6cd55c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeEvent.type
00000001ec6cd52c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.birthDuration
00000001ec6cd528 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.birthStart
00000001ec6cd54c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.birthType
00000001ec6cd534 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.deathDuration
00000001ec6cd538 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.deathParameter
00000001ec6cd530 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.deathStart
00000001ec6cd550 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.deathType
00000001ec6cd53c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.slideID
00000001ec6cd540 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.slideIndex
00000001ec6cd544 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.x
00000001ec6cd548 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.y
00000001ec6cd8f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mBreakInformation
00000001ec6cd8bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mChapterDates
00000001ec6cd8b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mChapterDurations
00000001ec6cd8cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mChapterNumDate
00000001ec6cd8c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mChapterSprite
00000001ec6cd8f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mChapters
00000001ec6cd8ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mDateWindowMask
00000001ec6cd8d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mDayImages
00000001ec6cd90c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mGrayImage
00000001ec6cd8c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mIndicies
00000001ec6cd900 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mIsLoaded
00000001ec6cd908 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mIsRotating
00000001ec6cd904 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mIsVertical
00000001ec6cd8f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mJournal
00000001ec6cd8b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mLengths
00000001ec6cd8d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mMovieProviders
00000001ec6cd8e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mQuoteBox
00000001ec6cd8e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mQuoteClose
00000001ec6cd8dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mQuoteOpen
00000001ec6cd8fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mSlideInformation
00000001ec6cd8ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mSprites
00000001ec6cd8b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mText
00000001ec6cd8d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mTextBackground
00000001ec6cd8c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mWeatherImages
00000001ec6cd8e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mWeatherWindowMask
00000001ec6cdd44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDotProgress._countOfDots
00000001ec6cdd48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDotProgress._selectedDotIndex
00000001ec6cd6b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFilmStrip.mSprites
00000001ec6cd4e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectFlipup._currentIterationIndex
00000001ec6cd4d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectFlipup._textWasUpdatedSinceLastRendering
00000001ec6cd4c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mBreakInformation
00000001ec6cd4b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mGradientProvider
00000001ec6cd4d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mIsFirst
00000001ec6cd4c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mIsLoaded
00000001ec6cd4cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mIsText
00000001ec6cd4bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mSortDescriptors
00000001ec6cd4b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mSprites
00000001ec6cd4e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mTextImage
00000001ec6cd4c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mTiming
00000001ec6cd4d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mXPositions
00000001ec6cd4dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mZPositions
00000001ec6cc710 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipupBackground.mGradientProvider
00000001ec6cd95c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mBackSlideOrder
00000001ec6cd954 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mFrontSlideOrder
00000001ec6cd96c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mHackContext
00000001ec6cd950 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mIterationOffset
00000001ec6cd958 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mMiddleSlideOrder
00000001ec6cd968 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mNeedsMoreSlides
00000001ec6cd964 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mNeedsUpdate
00000001ec6cd960 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mSlideTimes
00000001ec6cd94c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mTotalImages
00000001ec6cd974 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mVBO
00000001ec6cd970 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mVBOData
00000001ec6cda10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mCenter
00000001ec6cda18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mIsPanning
00000001ec6cda14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mMapImage
00000001ec6cda1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mStartCenter
00000001ec6cda08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mTileQueue
00000001ec6cda04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mTiles
00000001ec6cda0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mZoomLevel
00000001ec6cd828 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mHasInnerRect
00000001ec6cd82c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mHasOuterRect
00000001ec6cd830 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mIsPlayable
00000001ec6cd834 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mIsPlaying
00000001ec6cd838 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mIsPressed
00000001ec6cd824 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mSprite
00000001ec6cd878 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mFrameTextureCoordinates
00000001ec6cd87c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mFrameTime
00000001ec6cd870 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mHalfWidth
00000001ec6cd854 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mHasTextRect
00000001ec6cd884 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mHitOffFrameTime
00000001ec6cd840 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mInnerFrameRect
00000001ec6cd864 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mIsHit
00000001ec6cd88c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mLiveAttributesWereUpdatedSinceLastRendering
00000001ec6cd860 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mNewIsHit
00000001ec6cd868 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mNewScrollY
00000001ec6cd86c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mScrollY
00000001ec6cd848 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mSprite
00000001ec6cd858 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mStretchesHorizontally
00000001ec6cd850 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mTextImage
00000001ec6cd83c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mTextRect
00000001ec6cd844 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mTextRenderer
00000001ec6cd84c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mTextSprite
00000001ec6cd880 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mVelocity
00000001ec6cd874 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mVertices
00000001ec6cd85c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mWasUpdatedSinceLastRendering
00000001ec6cd888 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mYPosition
00000001ec6cc248 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mGradientProvider
00000001ec6cc240 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mMapProvider
00000001ec6cc244 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mMarkerProvider
00000001ec6cc24c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mShadingProvider
00000001ec6cc250 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mStarsLProvider
00000001ec6cc254 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mStarsRProvider
00000001ec6cc27c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mBaseStillDuration
00000001ec6cc26c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mCountOfSlides
00000001ec6cc280 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mCurrentMainSlideKey
00000001ec6cc278 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mFrameIndices
00000001ec6cc264 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mMatrices
00000001ec6cc270 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mNumberOfRopes
00000001ec6cc25c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mPhotoFrameImageProviders
00000001ec6cc258 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mRopeImageProvider
00000001ec6cc274 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mScenario
00000001ec6cc268 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mSlideTimings
00000001ec6cc260 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mSprites
00000001ec6cc284 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundLights.mBackgroundImageProvider
00000001ec6cc288 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundLights.mBokehImageProvider
00000001ec6cc28c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mBackgroundImageProvider
00000001ec6cc290 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mStarImageProvider
00000001ec6cc294 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mStars
00000001ec6cc2a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mStarsAttributes
00000001ec6cc29c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mStarsTexCoords
00000001ec6cc298 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mStarsVertices
00000001ec6cc2bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mEditedTextSize
00000001ec6cc2b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mMatrix
00000001ec6cc2a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mRopeImageProvider
00000001ec6cc2ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mSprite
00000001ec6cc2b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mTextImage
00000001ec6cc2a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mTextRenderer
00000001ec6cc2b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mTextSize
00000001ec6cddb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectHyperGrid._currentIterationIndex
00000001ec6cddb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mAspectRatio
00000001ec6cdda8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mAspectRatioDidChange
00000001ec6cdd80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mBreakCurves
00000001ec6cdd84 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mBreakInformation
00000001ec6cdd94 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mCanAddSlides
00000001ec6cdd7c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mCurves
00000001ec6cdd8c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mIdealSlideCount
00000001ec6cdd90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mIterationStartIndex
00000001ec6cddac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastIteration
00000001ec6cdda0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastIterationsAdded
00000001ec6cdd9c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastSlideIndex
00000001ec6cdda4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastUsableIteration
00000001ec6cdd78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLayouts
00000001ec6cddb4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mNeedsToRecalculateIterations
