0000000293e69c90 (__DATA,__data) non-external _.compoundliteral
0000000225661d7c (__TEXT,__text) non-external (was a private external) _glpMakeTypeSize
00000002256616a4 (__TEXT,__text) non-external (was a private external) _glpMakeTypedValueHash
00000002256d8458 (__TEXT,__text) non-external (was a private external) _glpMakeTypedVariableFragment
00000002256bc894 (__TEXT,__text) non-external (was a private external) _glpMakeUnaryPlusNode
00000002256bc310 (__TEXT,__text) non-external (was a private external) _glpMakeUndeterminedCallNode
000000022568c7b0 (__TEXT,__text) non-external (was a private external) _glpMakeUnnamedInterfaceBlockObject
00000002256d890c (__TEXT,__text) non-external (was a private external) _glpMakeUnopFuncallFragment
00000002256d78e0 (__TEXT,__text) non-external (was a private external) _glpMakeVRLFunctionFragment
00000002256bdbf0 (__TEXT,__text) non-external (was a private external) _glpMakeVariableDeclarationGroupNode
00000002256bdad0 (__TEXT,__text) non-external (was a private external) _glpMakeVariableDeclarationNode
00000002256bbfb0 (__TEXT,__text) non-external (was a private external) _glpMakeVariableIdentifierNode
000000022568c3fc (__TEXT,__text) non-external (was a private external) _glpMakeVariableObject
0000000225695724 (__TEXT,__text) non-external (was a private external) _glpMakeVertexInputBindings
00000002256d8b88 (__TEXT,__text) non-external (was a private external) _glpMakeWhileFragment
00000002256bd53c (__TEXT,__text) non-external (was a private external) _glpMakeWriteOutputNode
0000000225662854 (__TEXT,__text) non-external _glpMallocAlloc
00000002256f9eb8 (__TEXT,__text) non-external _glpMallocAlloc
00000002256628b0 (__TEXT,__text) non-external _glpMallocFree
00000002256f9f14 (__TEXT,__text) non-external _glpMallocFree
0000000225662880 (__TEXT,__text) non-external _glpMallocRealloc
00000002256f9ee4 (__TEXT,__text) non-external _glpMallocRealloc
00000002256b2f24 (__TEXT,__text) non-external (was a private external) _glpMangleSideEffectsWithNewResult
000000022567d2e8 (__TEXT,__text) non-external _glpMatchInputSize
000000022567dab0 (__TEXT,__text) non-external _glpMatchInputSize3
00000002256955bc (__TEXT,__text) non-external (was a private external) _glpMergeInterfaceBlocks
0000000225663b64 (__TEXT,__text) non-external (was a private external) _glpMergeRemapValue
00000002256953f0 (__TEXT,__text) non-external (was a private external) _glpMergeUniforms
00000002256878f0 (__TEXT,__text) non-external _glpMetalGetArgTypeNameFromASTType
00000002256bc5c4 (__TEXT,__text) non-external (was a private external) _glpMethodCallNodeGetName
00000002256bc5d0 (__TEXT,__text) non-external (was a private external) _glpMethodCallNodeGetReceiver
00000002256bc5e0 (__TEXT,__text) non-external (was a private external) _glpMethodCallNodeSetReceiver
00000002256df130 (__TEXT,__text) non-external _glpMutableValueFromVec
000000022569dc70 (__TEXT,__text) non-external (was a private external) _glpNameTableGet
000000022569e800 (__TEXT,__text) non-external (was a private external) _glpNameTableGetCurrentFunction
000000022569dc2c (__TEXT,__text) non-external (was a private external) _glpNameTableGetGLSLVersion
000000022569dbbc (__TEXT,__text) non-external (was a private external) _glpNameTableGetLanguage
000000022569e808 (__TEXT,__text) non-external (was a private external) _glpNameTableGetPrecision
000000022569dc5c (__TEXT,__text) non-external (was a private external) _glpNameTableIsExtensionEnabled
000000022569e794 (__TEXT,__text) non-external (was a private external) _glpNameTablePop
000000022569e674 (__TEXT,__text) non-external (was a private external) _glpNameTablePush
000000022569e73c (__TEXT,__text) non-external (was a private external) _glpNameTablePushForFunction
000000022569e54c (__TEXT,__text) non-external (was a private external) _glpNameTablePut
000000022569dbc4 (__TEXT,__text) non-external (was a private external) _glpNameTablePutPrecision
000000022569dc34 (__TEXT,__text) non-external (was a private external) _glpNameTableSetGLSLExtensionBehavior
000000022569d9b0 (__TEXT,__text) non-external (was a private external) _glpNameTableSetGLSLVersion
000000022569e788 (__TEXT,__text) non-external (was a private external) _glpNameTableSetStatementIndex
000000022569e7f4 (__TEXT,__text) non-external (was a private external) _glpNameTableSetTopLevelBlock
00000002256bd06c (__TEXT,__text) non-external (was a private external) _glpNotEqualNodeGetIsFromSource
00000002256bfb04 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetBankIndex
00000002256bfaf4 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetCompStride
00000002256bfac4 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetExtra
00000002256bfb1c (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetOffsetExpr
00000002256bfae4 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetPreSwizzlePrimitiveType
00000002256bfad4 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetSwizzle
00000002256bfb34 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeGetVectorElementExpr
00000002256bfb10 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetBankIndex
00000002256bfafc (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetCompStride
00000002256bfacc (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetExtra
00000002256bfb28 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetOffsetExpr
00000002256bfaec (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetPreSwizzlePrimitiveType
00000002256bfadc (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetSwizzle
00000002256bfb40 (__TEXT,__text) non-external (was a private external) _glpOffsetNodeSetVectorElementExpr
00000002256bd52c (__TEXT,__text) non-external (was a private external) _glpOpAssignNodeGetDesugar
0000000225662bd4 (__TEXT,__text) non-external (was a private external) _glpOpenArchive
00000002256a662c (__TEXT,__text) non-external (was a private external) _glpOperatorAsFunctionError
00000002256ff050 (__TEXT,__text) external _glpPPDisassemble
0000000225730e10 (__TEXT,__const) non-external _glpPPDisassemble.shaderTargets
000000028f3b89e8 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_filters
000000028f3b8a58 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_formats
000000028f3b8b38 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_types
000000028f3b8a18 (__DATA_CONST,__const) non-external _glpPPDisassemble.tex_wraps
0000000225701c60 (__TEXT,__text) external _glpPPDisassembleFree
000000022570d0e4 (__TEXT,__text) external _glpPPShaderLinearize
000000022570d0ec (__TEXT,__text) external _glpPPShaderLinearizeEx
000000022570bee4 (__TEXT,__text) external _glpPPShaderLinearizeStreamMgr
000000022570beec (__TEXT,__text) external _glpPPShaderLinearizeStreamMgrEx
00000002256bfe7c (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetHasOffset
00000002256bfe74 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetHasSrctex
00000002256bfe6c (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetOpPrimitiveType
00000002256bfe64 (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetOpcode
00000002256bfe5c (__TEXT,__text) non-external (was a private external) _glpPPStreamOpNodeGetReturnPrimitiveType
00000002255ff5f4 (__TEXT,__text) external _glpPPStreamTokenDump
00000002255ff5fc (__TEXT,__text) external _glpPPStreamTokenDumpFree
00000002256e0880 (__TEXT,__text) non-external _glpPPTFunctionDefinition
00000002256e0614 (__TEXT,__text) non-external (was a private external) _glpPPTNode
00000002256e0aa4 (__TEXT,__text) non-external _glpPPTRawCall
00000002256e09ac (__TEXT,__text) non-external _glpPPTSwitchStatement
00000002256e0708 (__TEXT,__text) non-external _glpPPTVariableDeclaration
00000002256ef484 (__TEXT,__text) non-external (was a private external) _glpPaIdentOrType
00000002256ef5bc (__TEXT,__text) non-external (was a private external) _glpPaParseComment
00000002256efdc4 (__TEXT,__text) non-external (was a private external) _glpPaParseStrings
00000002256ef3b0 (__TEXT,__text) non-external (was a private external) _glpPaReservedWord
000000022568b560 (__TEXT,__text) non-external (was a private external) _glpPackConstants
00000002256bd838 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetExtra
00000002256bd82c (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetName
00000002256bd848 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeGetType
00000002256bd840 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeSetExtra
00000002256bd854 (__TEXT,__text) non-external (was a private external) _glpParameterDeclarationNodeSetType
00000002256f0a04 (__TEXT,__text) non-external (was a private external) _glpParseContextSetGLSLVersion
00000002256f0b30 (__TEXT,__text) non-external (was a private external) _glpParseContextValidateGLSLVersion
00000002256a2ac8 (__TEXT,__text) non-external (was a private external) _glpParseQualifiers
000000022568dc88 (__TEXT,__text) non-external (was a private external) _glpParseRecover
00000002256611f4 (__TEXT,__text) non-external (was a private external) _glpPointerHashCache_b
0000000225661190 (__TEXT,__text) non-external (was a private external) _glpPointerHashGet
0000000225660fd8 (__TEXT,__text) non-external (was a private external) _glpPointerHashPut
0000000225661258 (__TEXT,__text) non-external (was a private external) _glpPointerHashRemove
000000022568ce94 (__TEXT,__text) non-external (was a private external) _glpPopulatePrecisionWidths
00000002256bde34 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetQualifier
00000002256bde4c (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeGetType
00000002256bde40 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetQualifier
00000002256bde58 (__TEXT,__text) non-external (was a private external) _glpPrecisionDeclarationNodeSetType
000000022568c368 (__TEXT,__text) non-external (was a private external) _glpPrecisionIndexFromSAFlags
00000002256a5160 (__TEXT,__text) non-external (was a private external) _glpPrecisionQualifierFromSaFlags
00000002256a0094 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumnType
000000022569ffe4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetColumns
00000002256a0174 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetElementType
00000002256a0104 (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRowType
00000002256a003c (__TEXT,__text) non-external (was a private external) _glpPrimitiveMatrixGetRows
00000002256a0294 (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPDatatype
00000002256a01c4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveSamplerGetPPTextarget
000000022568bb8c (__TEXT,__text) non-external _glpPrimitiveTypeFromScalarType
00000002256afc40 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeFromString
00000002256a060c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetByteStride
00000002256a04c4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetBytesPerComponent
000000022569fefc (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetCategory
000000022569fed4 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetGLType
00000002256a0518 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetMaxComponentsPerVec4
00000002256a057c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetNumVec4s
00000002256afc6c (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetPrimitiveType
00000002256a0444 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarCount
00000002256a02ec (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeGetScalarType
00000002256be2bc (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeNodeGetType
00000002256a0374 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeReplaceScalarType
0000000225677f98 (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType
00000002257259cc (__TEXT,__text) non-external _glpPrimitiveTypeToLLVMType.cold.1
000000022569fe18 (__TEXT,__text) non-external (was a private external) _glpPrimitiveTypeToString
000000022569ff7c (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetElementType
000000022569ff24 (__TEXT,__text) non-external (was a private external) _glpPrimitiveVectorGetLength
00000002256860bc (__TEXT,__text) non-external _glpProcessComponentWiseVectorAssignment
00000002255f3478 (__TEXT,__text) non-external _glpProgram_PPStreamAddAddressUsage
00000002255f3490 (__TEXT,__text) non-external _glpProgram_PPStreamAddAttribBinding
00000002255f3554 (__TEXT,__text) non-external _glpProgram_PPStreamAddConstant
00000002255f355c (__TEXT,__text) non-external _glpProgram_PPStreamAddLabel
00000002255f3424 (__TEXT,__text) non-external _glpProgram_PPStreamAddOperation
00000002255f354c (__TEXT,__text) non-external _glpProgram_PPStreamAddOption
00000002255f34f8 (__TEXT,__text) non-external _glpProgram_PPStreamAddOutputBinding
00000002255f3480 (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBinding
00000002255f3488 (__TEXT,__text) non-external _glpProgram_PPStreamAddParamBindingArray
00000002255f3470 (__TEXT,__text) non-external _glpProgram_PPStreamAddTempUsage
00000002255f35b0 (__TEXT,__text) non-external _glpProgram_PPStreamResolveBranches
00000002255f3418 (__TEXT,__text) non-external _glpProgram_PPStreamSetTarget
00000002256aa16c (__TEXT,__text) non-external (was a private external) _glpPushdownPrecision
00000002256bdfac (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeAddDeclaration
00000002256bdf94 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclaration
00000002256bdf8c (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeGetDeclarationCount
00000002256bdfb4 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeInsertDeclaration
00000002256bdfa0 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationGroupNodeSetDeclaration
00000002256bdef8 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetName
00000002256bdf04 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeGetQualifiers
00000002256bdf10 (__TEXT,__text) non-external (was a private external) _glpQualifiedDeclarationNodeSetQualifiers
00000002256be224 (__TEXT,__text) non-external (was a private external) _glpQualifiedTypeNodeGetQualifiers
